step,phase,e_loss,s_loss,g_loss,d_loss
100,embedding,0.008514,,,
200,embedding,0.005751,,,
300,embedding,0.00062,,,
400,embedding,0.000267,,,
500,embedding,0.000179,,,
600,embedding,0.000109,,,
700,embedding,8.1e-05,,,
800,embedding,6.2e-05,,,
900,embedding,4.6e-05,,,
1000,embedding,3.5e-05,,,
1100,embedding,2.7e-05,,,
1200,embedding,2.2e-05,,,
1300,embedding,1.6e-05,,,
1400,embedding,1e-05,,,
1500,embedding,8e-06,,,
1600,embedding,4e-06,,,
1700,embedding,3e-06,,,
1800,embedding,2e-06,,,
1900,embedding,2.6e-05,,,
2000,embedding,1e-06,,,
2100,embedding,1e-06,,,
2200,embedding,1e-06,,,
2300,embedding,2e-05,,,
2400,embedding,1e-06,,,
2500,embedding,2e-06,,,
2600,embedding,1e-06,,,
2700,embedding,1e-06,,,
2800,embedding,3e-06,,,
2900,embedding,2e-06,,,
3000,embedding,0.0,,,
3100,embedding,1e-06,,,
3200,embedding,1e-06,,,
3300,embedding,1e-06,,,
3400,embedding,1e-06,,,
3500,embedding,1e-06,,,
3600,embedding,2e-06,,,
3700,embedding,2e-06,,,
3800,embedding,2e-06,,,
3900,embedding,1e-06,,,
4000,embedding,1e-06,,,
4100,embedding,2e-05,,,
4200,embedding,4.2e-05,,,
4300,embedding,1e-06,,,
4400,embedding,3e-06,,,
4500,embedding,1e-06,,,
4600,embedding,4e-06,,,
4700,embedding,2e-06,,,
4800,embedding,1e-06,,,
4900,embedding,3e-06,,,
5000,embedding,1e-06,,,
100,supervised,,0.001321,,
200,supervised,,0.000204,,
300,supervised,,0.00013,,
400,supervised,,0.000121,,
500,supervised,,0.000106,,
600,supervised,,0.000113,,
700,supervised,,8.8e-05,,
800,supervised,,9.5e-05,,
900,supervised,,0.0001,,
1000,supervised,,9.3e-05,,
1100,supervised,,9.1e-05,,
1200,supervised,,9.4e-05,,
1300,supervised,,8.8e-05,,
1400,supervised,,9.4e-05,,
1500,supervised,,8.9e-05,,
1600,supervised,,8.8e-05,,
1700,supervised,,8.7e-05,,
1800,supervised,,8.7e-05,,
1900,supervised,,8.6e-05,,
2000,supervised,,8.5e-05,,
2100,supervised,,8.5e-05,,
2200,supervised,,8.7e-05,,
2300,supervised,,9e-05,,
2400,supervised,,9e-05,,
2500,supervised,,8.9e-05,,
2600,supervised,,8.9e-05,,
2700,supervised,,8.6e-05,,
2800,supervised,,8.9e-05,,
2900,supervised,,8.3e-05,,
3000,supervised,,8.6e-05,,
3100,supervised,,8.9e-05,,
3200,supervised,,8.6e-05,,
3300,supervised,,8.4e-05,,
3400,supervised,,8.7e-05,,
3500,supervised,,8.7e-05,,
3600,supervised,,8.4e-05,,
3700,supervised,,8.4e-05,,
3800,supervised,,8.7e-05,,
