epoch,loss_D_0,loss_G_0,loss_CD
0,0.74695,-2.78152,0.69343
1,0.72409,-2.74032,0.69381
2,0.71356,-2.74882,0.69221
3,0.69722,-2.74997,0.69192
4,0.69593,-2.73879,0.69178
5,0.68937,-2.76201,0.69009
6,0.68225,-2.73619,0.69366
7,0.69913,-2.75901,0.69504
8,0.69171,-2.74093,0.69139
9,0.68503,-2.75479,0.69211
10,0.69393,-2.75934,0.69267
11,0.70550,-2.76799,0.69155
12,0.69763,-2.72940,0.69224
13,0.69996,-2.77223,0.69131
14,0.69460,-2.74979,0.69002
15,0.69468,-2.72918,0.69395
16,0.68975,-2.75744,0.69021
17,0.69677,-2.70429,0.69117
18,0.69415,-2.75935,0.69324
19,0.68063,-2.73954,0.69696
20,0.70198,-2.77472,0.69037
21,0.70031,-2.73945,0.69293
22,0.70188,-2.73027,0.68585
23,0.68840,-2.82685,0.69171
24,0.70352,-2.75783,0.69310
25,0.70436,-2.78020,0.69272
26,0.71334,-2.75838,0.69032
27,0.70027,-2.80624,0.69626
28,0.68661,-2.76491,0.69269
29,0.69371,-2.71558,0.69494
30,0.70812,-2.75862,0.69508
31,0.71103,-2.79666,0.69748
32,0.71336,-2.72636,0.69472
33,0.70020,-2.70091,0.69376
34,0.68750,-2.72170,0.69912
35,0.69711,-2.71269,0.69252
36,0.69917,-2.72286,0.69321
37,0.69065,-2.74975,0.69362
38,0.69034,-2.80115,0.68760
39,0.70565,-2.73153,0.69263
40,0.69337,-2.64426,0.69400
41,0.70434,-2.77261,0.69374
42,0.71109,-2.73944,0.69324
43,0.69779,-2.78316,0.69099
44,0.69763,-2.66493,0.68850
45,0.70249,-2.73160,0.69106
46,0.70151,-2.73711,0.69750
47,0.71457,-2.77927,0.69592
48,0.69860,-2.77944,0.68920
49,0.68801,-2.74050,0.69552
50,0.69652,-2.77030,0.69211
51,0.68870,-2.68339,0.69001
52,0.70028,-2.76229,0.69493
53,0.69860,-2.68477,0.69627
54,0.68361,-2.73840,0.69083
55,0.69180,-2.76678,0.69108
56,0.67683,-2.70811,0.69215
57,0.67644,-2.78448,0.69513
58,0.70529,-2.73078,0.68938
59,0.69446,-2.76987,0.68926
60,0.70011,-2.74060,0.69361
61,0.70725,-2.72689,0.69144
62,0.69403,-2.72679,0.68907
63,0.71315,-2.74836,0.68927
64,0.70745,-2.83023,0.69695
65,0.70276,-2.75140,0.69402
66,0.70929,-2.76045,0.68899
67,0.69110,-2.77966,0.69210
68,0.70690,-2.65940,0.68681
69,0.71453,-2.73522,0.69534
70,0.67433,-2.65323,0.69555
71,0.68555,-2.73046,0.69272
72,0.68719,-2.82052,0.69290
73,0.71289,-2.71835,0.68534
74,0.71866,-2.73317,0.69291
75,0.70234,-2.78049,0.69330
76,0.68854,-2.75786,0.69303
77,0.70425,-2.81863,0.69745
78,0.70270,-2.71922,0.69197
79,0.68711,-2.71001,0.69039
80,0.69201,-2.68028,0.69464
81,0.67097,-2.79121,0.69635
82,0.72175,-2.79241,0.69061
83,0.71210,-2.75492,0.69389
84,0.68080,-2.75200,0.69380
85,0.71524,-2.75829,0.68881
86,0.69710,-2.68792,0.69090
87,0.69299,-2.78900,0.69291
88,0.70724,-2.78157,0.69362
89,0.68873,-2.76854,0.69463
90,0.72221,-2.70163,0.69064
91,0.68793,-2.82139,0.69296
92,0.68294,-2.75915,0.69394
93,0.69278,-2.72619,0.69264
94,0.69466,-2.75367,0.69607
95,0.69065,-2.81787,0.69291
96,0.70055,-2.77040,0.69452
97,0.69191,-2.75865,0.69353
98,0.68754,-2.73390,0.69539
99,0.70025,-2.65931,0.69532
100,0.68778,-2.66273,0.69711
101,0.70892,-2.86443,0.69341
102,0.71327,-2.84965,0.69132
103,0.70875,-2.69582,0.69028
104,0.69867,-2.75782,0.69067
105,0.70052,-2.74947,0.68854
106,0.72234,-2.71010,0.69567
107,0.73675,-2.82732,0.69272
108,0.68679,-2.77259,0.69469
109,0.70461,-2.76705,0.69442
110,0.68895,-2.65295,0.69560
111,0.68777,-2.76471,0.69327
112,0.68959,-2.59795,0.69354
113,0.71314,-2.71071,0.69346
114,0.69697,-2.82791,0.69118
115,0.71299,-2.74021,0.69570
116,0.70926,-2.85645,0.69388
117,0.71480,-2.74028,0.69352
118,0.69188,-2.83992,0.70008
119,0.69451,-2.78285,0.69567
