epoch,loss_D_0,loss_D_1,loss_D_2,loss_D_3,loss_D_4,loss_G_0,loss_G_1,loss_G_2,loss_G_3,loss_G_4,loss_CD
0,0.63820,0.47889,0.63250,0.57195,0.60268,-2.62151,-2.61154,-2.57177,-2.60158,-2.67500,0.68925
1,0.67773,0.64722,0.66484,0.71262,0.70474,-2.64367,-2.48464,-2.64236,-2.60786,-2.36495,0.67502
2,0.70018,0.68314,0.67480,0.70556,0.67971,-2.82475,-2.70546,-2.79124,-2.74932,-2.76244,0.69567
3,0.68352,0.68503,0.65372,0.68696,0.69118,-2.80643,-2.83077,-2.77651,-2.77844,-2.81937,0.71012
4,0.67629,0.68906,0.60076,0.67932,0.66141,-2.75568,-2.77644,-2.72198,-2.77946,-2.72513,0.69798
5,0.68462,0.68492,0.78005,0.67495,0.65926,-2.73039,-2.72040,-2.62907,-2.72358,-2.72238,0.68924
6,0.66932,0.72464,0.73683,0.56017,0.68189,-2.66348,-2.70132,-2.70087,-2.55173,-2.67608,0.67969
7,0.69265,0.70449,0.73797,0.76150,0.73778,-2.73445,-2.80588,-2.77164,-2.67585,-2.86287,0.69808
8,0.68476,0.71332,0.73779,0.69569,0.68223,-2.74392,-2.76112,-2.70841,-2.66096,-2.54406,0.69064
9,0.67763,0.71044,0.70204,0.64058,0.68603,-2.73994,-2.82789,-2.75889,-2.70449,-2.78914,0.69989
10,0.70274,0.70578,0.68327,0.69413,0.69797,-2.74014,-2.73566,-2.75099,-2.74024,-2.78257,0.69425
11,0.67500,0.72640,0.69782,0.69723,0.69419,-2.64613,-2.76926,-2.69057,-2.70892,-2.72698,0.69139
12,0.69297,0.67397,0.69267,0.68663,0.69526,-2.75269,-2.75979,-2.72088,-2.75665,-2.81272,0.70464
13,0.66956,0.66657,0.70168,0.62136,0.70171,-2.72593,-2.69423,-2.73446,-2.64116,-2.74510,0.68572
14,0.62959,0.70219,0.64167,0.67969,0.66124,-2.58372,-2.64281,-2.63690,-2.64504,-2.65746,0.67758
15,0.74162,0.72129,0.71085,0.72312,0.69593,-2.78657,-2.77657,-2.73245,-2.73756,-2.71171,0.69217
16,0.68147,0.69718,0.67603,0.67501,0.69417,-2.72934,-2.75473,-2.71314,-2.75009,-2.75249,0.69468
17,0.72363,0.71229,0.70089,0.68449,0.68578,-2.78618,-2.78779,-2.62514,-2.73129,-2.74628,0.69177
18,0.69759,0.70174,0.71520,0.66570,0.68805,-2.80515,-2.75515,-2.75849,-2.72432,-2.75678,0.69477
19,0.69623,0.70996,0.67447,0.67619,0.68109,-2.77965,-2.77404,-2.66083,-2.73917,-2.71968,0.69253
20,0.67963,0.69677,0.68420,0.65864,0.68515,-2.67637,-2.79005,-2.75765,-2.63058,-2.73824,0.69142
21,0.68004,0.69115,0.68025,0.65412,0.68988,-2.67786,-2.72423,-2.72522,-2.72221,-2.75367,0.69681
22,0.66858,0.68197,0.68228,0.65695,0.68769,-2.66202,-2.67028,-2.71413,-2.61094,-2.73057,0.68746
23,0.67852,0.69514,0.67772,0.67491,0.69770,-2.68022,-2.73975,-2.69830,-2.64592,-2.74127,0.68308
24,0.70165,0.69490,0.70291,0.66582,0.69132,-2.68087,-2.75341,-2.72526,-2.66022,-2.70332,0.69054
25,0.66791,0.68854,0.69557,0.68879,0.68790,-2.69544,-2.75867,-2.76691,-2.75943,-2.74764,0.69717
26,0.70535,0.68650,0.69122,0.68700,0.70090,-2.78338,-2.74704,-2.74686,-2.72380,-2.77781,0.69426
27,0.68773,0.69369,0.70695,0.66718,0.68828,-2.73929,-2.73160,-2.77532,-2.70957,-2.75914,0.69532
28,0.68164,0.68924,0.66621,0.64229,0.71317,-2.76882,-2.74740,-2.71137,-2.62588,-2.80543,0.69980
29,0.68522,0.67868,0.69143,0.72334,0.69548,-2.72425,-2.74888,-2.74406,-2.74711,-2.78359,0.69400
30,0.69650,0.70103,0.69529,0.67545,0.70031,-2.74037,-2.77380,-2.70416,-2.67823,-2.75913,0.68737
31,0.69608,0.69306,0.68505,0.68166,0.68873,-2.69009,-2.72006,-2.67677,-2.55669,-2.69069,0.68155
32,0.69291,0.69666,0.70192,0.68199,0.69721,-2.73064,-2.76123,-2.72744,-2.72645,-2.71887,0.69283
33,0.67957,0.71350,0.71437,0.69591,0.68824,-2.75193,-2.74956,-2.75385,-2.71080,-2.75505,0.69678
34,0.69769,0.69618,0.70231,0.70503,0.69591,-2.79828,-2.80069,-2.77526,-2.68830,-2.77166,0.69748
35,0.68675,0.69440,0.70214,0.72276,0.68716,-2.65287,-2.69259,-2.73216,-2.71270,-2.69411,0.68736
36,0.67588,0.69236,0.70157,0.69761,0.71038,-2.70716,-2.69083,-2.72516,-2.66271,-2.66971,0.68075
37,0.70568,0.69393,0.69489,0.67930,0.68073,-2.74230,-2.85216,-2.80537,-2.69548,-2.76675,0.69982
38,0.69097,0.69890,0.68559,0.70880,0.69041,-2.75772,-2.71465,-2.69385,-2.70548,-2.72546,0.68501
39,0.69300,0.69660,0.69394,0.71067,0.68927,-2.72733,-2.75576,-2.75739,-2.78318,-2.77874,0.68922
40,0.68664,0.68394,0.70174,0.67609,0.69122,-2.75807,-2.72534,-2.74960,-2.75038,-2.76077,0.68863
41,0.68274,0.67671,0.70640,0.70895,0.69853,-2.59908,-2.71125,-2.71672,-2.68050,-2.66345,0.68196
42,0.69363,0.69100,0.68392,0.68477,0.68835,-2.72052,-2.70341,-2.65828,-2.67678,-2.73130,0.68408
43,0.66538,0.70101,0.68859,0.69799,0.69260,-2.62068,-2.70650,-2.62878,-2.64831,-2.64623,0.67611
44,0.68235,0.69114,0.71639,0.69341,0.68298,-2.70752,-2.72239,-2.68137,-2.72094,-2.72060,0.67686
45,0.69551,0.72879,0.70307,0.69243,0.68899,-2.70134,-2.72673,-2.75500,-2.73853,-2.72575,0.69151
46,0.70492,0.70010,0.68805,0.70367,0.68201,-2.72926,-2.76235,-2.71068,-2.72179,-2.75792,0.70101
47,0.67879,0.70118,0.70528,0.70809,0.69220,-2.68841,-2.72218,-2.70182,-2.61818,-2.74223,0.68238
48,0.68154,0.69939,0.69442,0.67988,0.69594,-2.70176,-2.82631,-2.77385,-2.65529,-2.73629,0.70253
49,0.68065,0.69175,0.68931,0.69415,0.69900,-2.73158,-2.72379,-2.78604,-2.72668,-2.76520,0.69861
50,0.66542,0.69136,0.69455,0.67206,0.68335,-2.65946,-2.68864,-2.63419,-2.67758,-2.66389,0.68021
51,0.65382,0.69703,0.68046,0.67977,0.69418,-2.65287,-2.77312,-2.75794,-2.77253,-2.80878,0.69364
52,0.68966,0.69056,0.69289,0.69598,0.69400,-2.73371,-2.71931,-2.72057,-2.76344,-2.71842,0.69255
53,0.69726,0.68989,0.68521,0.69361,0.70902,-2.77634,-2.74723,-2.80657,-2.77769,-2.79456,0.69802
54,0.66986,0.69690,0.67601,0.67064,0.69251,-2.63727,-2.73516,-2.71178,-2.67982,-2.75753,0.67178
55,0.68624,0.68172,0.70978,0.68774,0.67851,-2.70926,-2.67998,-2.76725,-2.72065,-2.71922,0.68424
56,0.66782,0.69466,0.68012,0.70214,0.69152,-2.60912,-2.79553,-2.72125,-2.72841,-2.75401,0.68741
57,0.70879,0.70585,0.68301,0.68522,0.68825,-2.65584,-2.71377,-2.65324,-2.73638,-2.64559,0.68016
58,0.70194,0.68882,0.70304,0.69669,0.69320,-2.73106,-2.74061,-2.76365,-2.68421,-2.68027,0.68596
59,0.70168,0.69091,0.66662,0.66176,0.69006,-2.74265,-2.74605,-2.77002,-2.72107,-2.83342,0.70808
60,0.66125,0.69520,0.68225,0.68703,0.68578,-2.63712,-2.74860,-2.84471,-2.71777,-2.71938,0.69133
61,0.69829,0.68223,0.69403,0.67714,0.67724,-2.69797,-2.66468,-2.70431,-2.74989,-2.73505,0.68387
62,0.68050,0.69224,0.69812,0.69958,0.68774,-2.67982,-2.69899,-2.73579,-2.65427,-2.70955,0.68768
63,0.68275,0.69690,0.67576,0.70927,0.68968,-2.72034,-2.74172,-2.70435,-2.76729,-2.70327,0.69566
64,0.66909,0.70206,0.68316,0.69093,0.69510,-2.66087,-2.77638,-2.69528,-2.68624,-2.71406,0.68726
65,0.66209,0.69838,0.70994,0.68274,0.69622,-2.61424,-2.73662,-2.72149,-2.72543,-2.70578,0.69673
66,0.64765,0.67934,0.68699,0.68365,0.68604,-2.62073,-2.64714,-2.63260,-2.64167,-2.71229,0.68049
67,0.68137,0.68431,0.67826,0.68969,0.70639,-2.75027,-2.65393,-2.69862,-2.65369,-2.76610,0.70345
68,0.65895,0.67359,0.70137,0.68186,0.68257,-2.68777,-2.69227,-2.75542,-2.76382,-2.65564,0.67638
69,0.67815,0.68601,0.69558,0.71058,0.67554,-2.80287,-2.69884,-2.76308,-2.81967,-2.74281,0.69579
70,0.70574,0.70364,0.70702,0.69614,0.69536,-2.69725,-2.66137,-2.63479,-2.65675,-2.68518,0.68295
71,0.67665,0.68746,0.66913,0.64598,0.68072,-2.60764,-2.58185,-2.59499,-2.57712,-2.67452,0.68399
72,0.70193,0.70090,0.69893,0.69839,0.71093,-2.76484,-2.81893,-2.67759,-2.65426,-2.71989,0.69174
73,0.67458,0.68890,0.68035,0.67872,0.68329,-2.56659,-2.68995,-2.62129,-2.58106,-2.73986,0.67813
74,0.69137,0.69323,0.68018,0.68972,0.69728,-2.67581,-2.71714,-2.69536,-2.70297,-2.74768,0.67550
75,0.70304,0.69943,0.68747,0.70306,0.71028,-2.76067,-2.79899,-2.74514,-2.77203,-2.81623,0.69593
76,0.69165,0.67651,0.69930,0.68268,0.69395,-2.67586,-2.68707,-2.67815,-2.71269,-2.69076,0.69508
77,0.69123,0.68633,0.69183,0.69331,0.70856,-2.71786,-2.78610,-2.75263,-2.73732,-2.78986,0.69286
78,0.69490,0.67496,0.69037,0.67244,0.68880,-2.73125,-2.71674,-2.73535,-2.64630,-2.78167,0.68365
79,0.70331,0.68699,0.69378,0.67815,0.70159,-2.74193,-2.75082,-2.80236,-2.76849,-2.76924,0.69456
80,0.70422,0.69887,0.70357,0.68887,0.70049,-2.73497,-2.69627,-2.72732,-2.72343,-2.76935,0.68009
