step,phase,loss_total,val_loss
1,k0,4.77314195,4.66678766
2,k0,4.67391612,4.64217461
3,k0,4.62771169,4.60262995
4,k0,4.59016491,4.58208198
5,k0,4.57323429,4.58374739
6,k0,4.54644374,4.58960819
7,k0,4.57847777,4.55294917
8,k0,4.55895972,4.53765352
9,k0,4.54182777,4.54119979
10,k0,4.55781495,4.54844207
11,k0,4.55764788,4.55749273
12,k0,4.58336153,4.53981590
13,k0,4.51570716,4.53260675
14,k0,4.57928956,4.53451608
15,k0,4.54725049,4.53851311
16,k0,4.57738529,4.55039740
17,k0,4.53610254,4.53746333
18,k0,4.57978048,4.53952837
19,k0,4.54290468,4.53288746
20,k0,4.57735610,4.54250405
21,k0,4.56822592,4.53216311
22,k0,4.56358382,4.54345391
23,k0,4.55229023,4.53315654
24,k0,4.51272050,4.53587987
25,k0,4.54062631,4.53406195
26,k0,4.54155543,4.53857987
27,k0,4.53792399,4.54015233
28,k0,4.53537466,4.55350876
29,k1,4.52173070,4.56467896
30,k1,4.53342141,4.55460207
31,k1,4.54787221,4.56797677
32,k1,4.56590091,4.57715827
33,k1,4.56540427,4.55589019
34,k1,4.55881788,4.56322145
35,k1,4.56001284,4.55751408
36,k1,4.56049584,4.55022863
37,k1,4.57151663,4.54371023
38,k1,4.53632270,4.55573871
39,k1,4.52519151,4.54292983
40,k1,4.55157396,4.55319008
41,k1,4.54077484,4.54675762
42,k1,4.53927672,4.55031806
43,k1,4.53772826,4.55054430
44,k1,4.53710961,4.54763944
45,k1,4.55562971,4.54512438
46,k1,4.54134411,4.55078448
47,k1,4.51769334,4.54954786
48,k1,4.55035267,4.54707751
49,k1,4.52226687,4.54396527
50,k1,4.51950044,4.55061678
51,k1,4.53872284,4.55044860
52,k1,4.54420921,4.54458945
53,k2,4.51832058,4.54339420
54,k2,4.51232326,4.53959806
55,k2,4.56480409,4.54518509
56,k2,4.54513314,4.54037087
57,k2,4.50782849,4.54843187
58,k2,4.58540774,4.53779932
59,k2,4.53190740,4.54057125
60,k2,4.55675352,4.54269046
61,k2,4.53381723,4.54561479
62,k2,4.57150507,4.53917951
63,k2,4.53286839,4.53978238
64,k2,4.56823638,4.53672765
65,k2,4.52637191,4.54394190
66,k2,4.55433555,4.53943168
67,k2,4.53615164,4.53903426
68,k2,4.53320776,4.53631247
69,k2,4.54226252,4.53546484
70,k2,4.54500989,4.53460675
71,k2,4.54989740,4.53914158
72,k2,4.51820193,4.53832839
73,k2,4.53341664,4.54571397
74,k2,4.52742918,4.54323849
75,k2,4.55669150,4.54149613
76,k2,4.54530065,4.53792033
77,k2,4.55264506,4.53503851
78,k2,4.52980023,4.53522242
79,k2,4.57418833,4.53594002
80,k2,4.56804055,4.53942284
81,k2,4.55222532,4.53676580
82,k2,4.53361874,4.54298676
83,k2,4.53822680,4.53636892
84,k2,4.51970821,4.53601148
85,k3,4.55267778,4.46869608
86,k3,4.55143283,4.46527375
87,k3,4.55421556,4.47248965
88,k3,4.56056390,4.46842069
89,k3,4.54075591,4.46874791
90,k3,4.54815346,4.46995603
91,k3,4.54402143,4.47016096
92,k3,4.51710179,4.46575488
93,k3,4.56216881,4.47811534
94,k3,4.53873630,4.47219284
95,k3,4.52166998,4.48026859
96,k3,4.50910388,4.46449434
97,k3,4.53858106,4.47406494
98,k3,4.54414163,4.47345906
99,k3,4.53746655,4.46743796
100,k3,4.52905397,4.47088817
101,k3,4.54158176,4.46626968
102,k4,4.54461595,4.55917017
103,k4,4.54082226,4.55073214
104,k4,4.55044634,4.55308056
105,k4,4.55602035,4.55467998
106,k4,4.55253012,4.57544081
107,k4,4.55105817,4.54926069
108,k4,4.53862734,4.55000037
109,k4,4.57850067,4.55804363
110,k4,4.51390968,4.56632024
111,k4,4.54778904,4.55101065
112,k4,4.52098150,4.55145022
113,k4,4.52884048,4.55288340
114,k4,4.53710056,4.56460322
115,k4,4.53358834,4.55340778
116,k4,4.56055190,4.55570914
117,k4,4.50210309,4.55483521
118,k4,4.53792885,4.55108793
119,k4,4.57332302,4.55679831
120,k4,4.54667443,4.54754488
121,k4,4.54182238,4.55376563
122,k4,4.51814888,4.56426940
123,k4,4.52855544,4.55362324
124,k4,4.55455725,4.56402874
125,k4,4.54904814,4.55189628
126,k4,4.54324283,4.55034469
127,k4,4.49955422,4.55834682
128,k4,4.54973732,4.55513019
129,k4,4.53955879,4.55660387
130,k4,4.53142935,4.55269278
131,k4,4.54132029,4.55346214
132,k4,4.54550610,4.55438984
133,k4,4.55203849,4.55179306
134,k4,4.53883770,4.55971630
135,k4,4.57605471,4.55018509
