k,epoch,train_loss,val_loss
0,0,9.61585164,9.43083131
0,1,9.28115943,9.36085820
0,2,9.21973667,9.34165573
0,3,9.19125479,9.35056114
0,4,9.21014583,9.31861055
0,5,9.12226242,9.01602530
0,6,8.78104681,8.82009172
0,7,8.68713251,8.75942397
0,8,8.62493977,8.73428857
0,9,8.62188870,8.66835105
0,10,8.54978584,8.66159511
0,11,8.56414932,8.62219548
0,12,8.56759739,8.66228509
0,13,8.53439382,8.60735297
0,14,8.52001682,8.60336888
0,15,8.50857040,8.58322132
0,16,8.46860367,8.58345366
0,17,8.49966505,8.58445334
0,18,8.43006048,8.59464240
0,19,8.45383492,8.58490431
0,20,8.46335447,8.57624781
0,21,8.46677831,8.56375575
0,22,8.45989159,8.57186615
0,23,8.50430337,8.55386674
0,24,8.45784348,8.58799708
0,25,8.44999924,8.55302334
0,26,8.42562035,8.61413276
0,27,8.38941237,8.55423176
0,28,8.39058277,8.55827773
0,29,8.40872303,8.55923510
0,30,8.40887049,8.55646062
0,31,8.40692356,8.54888678
0,32,8.43464342,8.54475558
0,33,8.40466940,8.53940940
0,34,8.44311792,8.56604123
0,35,8.39424647,8.55992305
0,36,8.42727754,8.53617978
0,37,8.40140212,8.54857397
0,38,8.43727964,8.54900193
0,39,8.39018679,8.59609568
0,40,8.49627697,8.59730721
0,41,8.45938337,8.62054658
0,42,8.46864772,8.57344091
0,43,8.44914752,8.54252017
0,44,8.44720528,8.56823397
0,45,8.38723591,8.54227686
0,46,8.41845924,8.56102908
0,47,8.43043192,8.53129399
0,48,8.38993812,8.54083288
0,49,8.40981030,8.53554988
0,50,8.42602074,8.54134274
0,51,8.41717400,8.51708746
0,52,8.44222018,8.54559112
0,53,8.44159475,8.52123654
0,54,8.44170290,8.54839027
0,55,8.46914738,8.57191575
0,56,8.41299140,8.54167807
0,57,8.38760445,8.53401732
0,58,8.42351723,8.53433168
0,59,8.44455147,8.52255821
0,60,8.40348291,8.53343725
0,61,8.42298940,8.54067886
0,62,8.39826486,8.53735077
0,63,8.40845668,8.54143918
0,64,8.44040310,8.53504217
0,65,8.43165633,8.54133701
0,66,8.39151362,8.53030896
1,0,8.45708182,8.48165119
1,1,8.47645563,8.47825193
1,2,8.48304722,8.48600054
1,3,8.46568100,8.49718046
1,4,8.44266954,8.48841536
1,5,8.49840042,8.47930896
1,6,8.40082511,8.46722007
1,7,8.49701229,8.47716665
1,8,8.42513165,8.47766006
1,9,8.46335942,8.48819995
1,10,8.46297833,8.48604560
1,11,8.48078093,8.48583019
1,12,8.42651880,8.48778617
1,13,8.47475275,8.47680926
1,14,8.46849376,8.46749103
1,15,8.44992253,8.49669909
1,16,8.43171827,8.48305726
1,17,8.48526356,8.47815907
1,18,8.40687099,8.48337197
1,19,8.43710330,8.48957658
1,20,8.45428789,8.47633815
1,21,8.47168615,8.47609675
2,0,8.44921485,8.53720891
2,1,8.45072159,8.54726410
2,2,8.44868317,8.54442108
2,3,8.40113777,8.52731681
2,4,8.43679596,8.54589665
2,5,8.46008268,8.54376113
2,6,8.45192605,8.53643906
2,7,8.46237329,8.52923214
2,8,8.48871022,8.53294134
2,9,8.43436837,8.53770602
2,10,8.41050334,8.52921665
2,11,8.40345249,8.54502058
2,12,8.42870155,8.54115486
2,13,8.43961310,8.53546023
2,14,8.43783674,8.53607154
2,15,8.40157567,8.52572572
2,16,8.46447964,8.53471708
2,17,8.45876129,8.53086174
2,18,8.47699597,8.53541958
2,19,8.47193190,8.53589642
2,20,8.40728554,8.53601086
2,21,8.50927892,8.53106236
2,22,8.46200565,8.53608847
2,23,8.44293821,8.53122866
2,24,8.43870544,8.53646958
2,25,8.46241379,8.53487790
2,26,8.41328904,8.52555466
2,27,8.44118756,8.55251920
2,28,8.42154717,8.55471480
2,29,8.43477547,8.54328191
2,30,8.46876729,8.53221238
3,0,8.47568607,8.51408887
3,1,8.42427137,8.50740457
3,2,8.46082205,8.52191591
3,3,8.44107869,8.51202428
3,4,8.45167378,8.52852035
3,5,8.42918679,8.52205861
3,6,8.45183121,8.51872218
3,7,8.42799884,8.51965976
3,8,8.46153775,8.52613544
3,9,8.42301309,8.51755190
3,10,8.39287350,8.52501416
3,11,8.49284336,8.51921737
3,12,8.37549838,8.52372301
3,13,8.43610966,8.51814830
3,14,8.43849175,8.52691412
3,15,8.46629003,8.53365624
3,16,8.44152716,8.53043485
4,0,8.42697163,8.45228231
4,1,8.50579426,8.45899701
4,2,8.46244663,8.45167458
4,3,8.46646270,8.45815217
4,4,8.45113051,8.46609712
4,5,8.47793546,8.46352315
4,6,8.51195744,8.51073241
4,7,8.50001276,8.45838690
4,8,8.46806350,8.46347153
4,9,8.43048728,8.46101391
4,10,8.45697945,8.45050621
4,11,8.45814878,8.45973730
4,12,8.49800855,8.45171070
4,13,8.45736456,8.45151901
4,14,8.45007437,8.44355381
4,15,8.47253424,8.45596862
4,16,8.44758323,8.44735885
4,17,8.41247061,8.44973350
4,18,8.49635670,8.46282816
4,19,8.42680010,8.45240986
4,20,8.47841686,8.45663559
4,21,8.48921162,8.45582616
4,22,8.43142366,8.47098827
4,23,8.47231385,8.44667280
4,24,8.43875787,8.45765483
4,25,8.40341115,8.45117080
4,26,8.43069124,8.45047104
4,27,8.40217488,8.45488501
4,28,8.42683443,8.45926738
4,29,8.41638812,8.44983327
