k,epoch,train_loss,val_loss
0,0,14.17009187,14.05595291
0,1,13.84754637,13.97890866
0,2,13.70460829,13.95087850
0,3,13.67507419,13.95999575
0,4,13.70935676,13.95828164
0,5,13.70835584,13.65246081
0,6,13.26540145,13.45672035
0,7,13.18538833,13.37707520
0,8,13.13774848,13.35201168
0,9,13.26557231,13.25983906
0,10,13.05552676,13.31685686
0,11,13.10656562,13.24720490
0,12,13.15898493,13.23554242
0,13,13.05073795,13.19574130
0,14,12.97567070,13.19980085
0,15,12.96511939,13.21152520
0,16,12.98442781,13.19938278
0,17,12.96555009,13.18740225
0,18,12.82023019,13.18628848
0,19,12.88342679,13.15392911
0,20,13.01250353,13.14759994
0,21,12.96396184,13.13892007
0,22,12.91804084,13.20848846
0,23,13.21774703,13.17081141
0,24,13.00581747,13.18463206
0,25,12.91197109,13.14171731
0,26,12.81797689,13.20710683
0,27,12.90896779,13.16600406
0,28,12.76948699,13.15803063
0,29,12.92305791,13.20129597
0,30,12.79058868,13.15840924
0,31,12.97470912,13.15342784
0,32,12.94592854,13.12517762
0,33,12.82962826,13.12200141
0,34,12.97094625,13.16162956
0,35,12.86405870,13.14045703
0,36,12.87693530,13.13672578
0,37,12.92558646,13.13192677
0,38,12.99158278,13.17379451
0,39,12.74511951,13.13055158
0,40,12.97081864,13.13996637
0,41,12.78806335,13.14580607
0,42,13.02994698,13.12503600
0,43,13.00232035,13.13015938
0,44,12.96288896,13.17700577
0,45,12.79379442,13.15474069
0,46,12.85791075,13.13591862
0,47,12.89086467,13.13598251
0,48,12.80807528,13.13897657
1,0,12.92885813,12.87301481
1,1,12.94622687,12.84139097
1,2,12.97008246,12.89239001
1,3,12.95560002,12.84758878
1,4,13.04277584,12.82740951
1,5,13.10924256,12.81229126
1,6,13.00683737,12.84319079
1,7,12.96437660,12.86274934
1,8,12.99385497,12.81219685
1,9,13.09570906,12.83967030
1,10,13.12565449,12.84482872
1,11,13.06381735,12.81972504
1,12,12.99392515,12.86046970
1,13,13.01870760,12.80655015
1,14,13.02970055,12.81751239
1,15,12.96916872,12.83407080
1,16,13.11252305,12.83728206
1,17,12.99228290,12.81051409
1,18,12.97783333,12.83494163
1,19,12.89572254,12.82758379
1,20,13.17306861,12.82756567
1,21,13.07507566,12.83253348
1,22,13.07242811,12.83231282
1,23,13.07885507,12.83609521
1,24,12.80719838,12.83746088
1,25,13.14137477,12.86209869
1,26,12.95147380,12.82662845
1,27,12.87884870,12.82937050
1,28,12.87290627,12.83623004
2,0,12.88397631,13.52170777
2,1,12.98692909,13.49302435
2,2,12.79653776,13.52052760
2,3,12.88916454,13.51558340
2,4,12.87732154,13.50249469
2,5,12.96360612,13.49702585
2,6,12.89559585,13.47061467
2,7,12.90527093,13.50602937
2,8,12.84102124,13.51323736
2,9,12.92780399,13.48541665
2,10,12.94803527,13.50048733
2,11,12.92850471,13.50685275
2,12,12.85711953,13.52112818
2,13,12.99131498,13.50818324
2,14,12.93807691,13.51510119
2,15,13.08373567,13.50084710
2,16,12.91834328,13.55574536
2,17,13.00223583,13.49914217
2,18,12.99354231,13.54484510
2,19,12.82999742,13.48352575
2,20,12.96240848,13.49050796
2,21,12.83894762,13.50478077
3,0,12.87075475,12.86414087
3,1,13.02242842,12.85579658
3,2,12.97400245,12.85308993
3,3,12.96531913,12.88875628
3,4,12.89782956,12.85878003
3,5,12.86875728,12.88594460
3,6,12.92057979,12.86602437
3,7,12.98279908,12.87800515
3,8,13.00477722,12.85927689
3,9,12.94619530,12.87716651
3,10,12.93193853,12.90173054
3,11,12.91191742,12.85226500
3,12,12.89829296,12.86047018
3,13,13.01533070,12.83618438
3,14,12.99993336,12.86776912
3,15,12.88960898,12.86862814
3,16,12.80517721,12.86008799
3,17,12.95081744,12.82482493
3,18,12.85800132,12.84674430
3,19,12.97097719,12.83569431
3,20,13.04174879,12.87246656
3,21,12.79957673,12.86303818
3,22,12.93539873,12.88018465
3,23,13.07256529,12.83410764
3,24,12.93767351,12.90925801
3,25,12.90074694,12.83222532
3,26,12.98970479,12.85026288
3,27,12.85699910,12.81585801
3,28,12.99501702,12.84292293
3,29,13.04086384,12.82844532
3,30,13.03768131,12.82106221
3,31,13.05503809,12.84587407
3,32,12.85515687,12.87090421
3,33,12.85432816,12.85800493
3,34,12.96402228,12.84656513
3,35,12.96111360,12.85519886
3,36,13.07366323,12.85365081
3,37,13.07431751,12.86020780
3,38,12.91975138,12.83011520
3,39,13.00573429,12.84114897
3,40,12.90114269,12.82445645
3,41,12.98373038,12.86010361
3,42,12.97168243,12.86171865
4,0,13.23801917,13.47346449
4,1,13.03885931,13.46178091
4,2,13.02225959,13.47167480
4,3,12.92105711,13.50332081
4,4,12.94724655,13.47714615
4,5,12.95612821,13.47726774
4,6,13.09977204,13.45074868
4,7,12.92918980,13.46994770
4,8,12.93209791,13.48526812
4,9,12.90449160,13.48379266
4,10,13.22842973,13.45412970
4,11,12.90982205,13.46688545
4,12,12.93870986,13.45976126
4,13,12.96055344,13.49824417
4,14,12.91468042,13.45232534
4,15,13.09857526,13.49951410
4,16,12.79765052,13.47877741
4,17,13.14693320,13.47422755
4,18,13.01622105,13.47382176
4,19,12.93560219,13.45963919
4,20,12.97433564,13.44990647
4,21,12.85971293,13.47318304
