k,epoch,train_loss,val_loss
0,0,9.51686138,9.33085299
0,1,9.36249107,9.27093089
0,2,9.26840517,9.28726709
0,3,9.26324627,9.23456824
0,4,9.07509854,9.03707635
0,5,8.97067222,8.84128070
0,6,8.77199808,8.74991989
0,7,8.65081885,8.66380572
0,8,8.61698771,8.61249685
0,9,8.62031466,8.58246291
0,10,8.57412198,8.54656410
0,11,8.54264036,8.52894449
0,12,8.53195760,8.50074315
0,13,8.46219525,8.48924506
0,14,8.51357698,8.48152494
0,15,8.45310485,8.49951363
0,16,8.45197582,8.50098729
0,17,8.47903068,8.52284515
0,18,8.44168232,8.47121465
0,19,8.51218864,8.44468963
0,20,8.43019822,8.50062180
0,21,8.42971453,8.44468141
0,22,8.48183009,8.45627463
0,23,8.41465941,8.46256077
0,24,8.43506452,8.45002079
0,25,8.42194656,8.46871328
0,26,8.52357316,8.46020246
0,27,8.42851254,8.43565977
0,28,8.42001101,8.45156074
0,29,8.43576550,8.43178976
0,30,8.46391541,8.47415209
0,31,8.41682503,8.43817210
0,32,8.41027965,8.44434583
0,33,8.40839511,8.43722236
0,34,8.42348585,8.42979264
0,35,8.45389643,8.44972229
0,36,8.47289190,8.44995856
0,37,8.46803047,8.43679333
0,38,8.44508934,8.44899356
0,39,8.41763496,8.43221653
0,40,8.37159847,8.45620489
0,41,8.42673990,8.43163061
0,42,8.44014174,8.43015075
0,43,8.44250041,8.49456489
0,44,8.45807260,8.47934318
0,45,8.46466437,8.43180668
0,46,8.40863231,8.42916334
0,47,8.38801426,8.41505957
0,48,8.42571899,8.41490901
0,49,8.43116108,8.42173111
0,50,8.41831356,8.42116940
0,51,8.45428288,8.42780507
0,52,8.44289470,8.42512774
0,53,8.39832556,8.40531212
0,54,8.43259999,8.42164564
0,55,8.40544319,8.45686471
0,56,8.44630545,8.45730710
0,57,8.42579606,8.44097745
0,58,8.42196700,8.41711771
0,59,8.40523118,8.40967596
0,60,8.43089247,8.42187023
0,61,8.37751585,8.43759108
0,62,8.36489797,8.42609727
0,63,8.36904207,8.41352260
0,64,8.44278097,8.41839063
0,65,8.38496074,8.41417289
0,66,8.39171669,8.43151653
0,67,8.42204612,8.41194284
0,68,8.33560514,8.41942823
1,0,8.43789402,8.43190563
1,1,8.41945958,8.44569969
1,2,8.41878441,8.43391633
1,3,8.47113580,8.44727015
1,4,8.44458283,8.44504964
1,5,8.43589377,8.43237960
1,6,8.40009560,8.44032860
1,7,8.45520100,8.45526862
1,8,8.47942996,8.43591321
1,9,8.43216601,8.45003831
1,10,8.47861475,8.45292747
1,11,8.35460430,8.44843769
1,12,8.39563474,8.43360841
1,13,8.43408403,8.44542205
1,14,8.42687941,8.43139911
1,15,8.46790260,8.43362951
2,0,8.47066227,8.46933138
2,1,8.38589388,8.45232260
2,2,8.41303486,8.48268914
2,3,8.41584957,8.47819638
2,4,8.47852953,8.45404458
2,5,8.46327737,8.45382237
2,6,8.42751262,8.44946015
2,7,8.39028665,8.45143402
2,8,8.40694427,8.45715296
2,9,8.37626310,8.46871257
2,10,8.45742470,8.45359528
2,11,8.43313155,8.45884442
2,12,8.46706343,8.46830356
2,13,8.40745023,8.44807589
2,14,8.44794485,8.44093359
2,15,8.42407903,8.45944357
2,16,8.42755182,8.45525825
2,17,8.40746956,8.45586550
2,18,8.39166294,8.43627942
2,19,8.45385900,8.45516360
2,20,8.36443701,8.46810293
2,21,8.42784509,8.44655466
2,22,8.45463869,8.46961260
2,23,8.40251154,8.47539103
2,24,8.44223899,8.45274484
2,25,8.44439995,8.46123195
2,26,8.43721476,8.45270574
2,27,8.41396415,8.45615697
2,28,8.43952903,8.46746540
2,29,8.41706964,8.45443094
2,30,8.41131920,8.46846426
2,31,8.46414155,8.45726240
2,32,8.40516907,8.45439029
2,33,8.38895649,8.46670008
3,0,8.44225086,8.47340095
3,1,8.43148917,8.46823907
3,2,8.40651959,8.47575223
3,3,8.44420135,8.47072268
3,4,8.43053085,8.46740687
3,5,8.47760263,8.46475148
3,6,8.43761098,8.46346867
3,7,8.41819796,8.45827115
3,8,8.40604430,8.52632368
3,9,8.42534932,8.48590195
3,10,8.42323759,8.48296392
3,11,8.45623797,8.50018740
3,12,8.43993419,8.48170269
3,13,8.45442745,8.46855938
3,14,8.42863718,8.46658051
3,15,8.42534232,8.46140742
3,16,8.45673454,8.48398983
3,17,8.39655247,8.48865294
3,18,8.41886964,8.46621418
3,19,8.41164458,8.46714723
3,20,8.36220399,8.47249293
3,21,8.43336359,8.47265828
3,22,8.42603859,8.47452283
4,0,8.38861746,8.51461089
4,1,8.41876003,8.49142683
4,2,8.40255114,8.49362731
4,3,8.40430458,8.49556947
4,4,8.43178681,8.49405360
4,5,8.42336559,8.50365841
4,6,8.44907914,8.50805998
4,7,8.42429063,8.51688969
4,8,8.39146465,8.49052882
4,9,8.39113830,8.50744998
4,10,8.40111619,8.51582491
4,11,8.38788819,8.53140140
4,12,8.39579555,8.49376452
4,13,8.37029782,8.49556959
4,14,8.43201122,8.50174057
4,15,8.47022489,8.50793064
4,16,8.39238504,8.50317419
