step,phase,e_loss,s_loss,g_loss,d_loss
100,embedding,0.001126,,,
200,embedding,0.000142,,,
300,embedding,6.1e-05,,,
400,embedding,3.9e-05,,,
500,embedding,8.2e-05,,,
600,embedding,1.4e-05,,,
700,embedding,7.2e-05,,,
800,embedding,9.1e-05,,,
900,embedding,5e-06,,,
1000,embedding,9e-06,,,
1100,embedding,1.3e-05,,,
1200,embedding,1.1e-05,,,
1300,embedding,1.3e-05,,,
1400,embedding,9e-06,,,
1500,embedding,7e-06,,,
1600,embedding,5e-06,,,
1700,embedding,1.6e-05,,,
1800,embedding,3e-06,,,
1900,embedding,3.9e-05,,,
2000,embedding,4e-06,,,
2100,embedding,1.8e-05,,,
2200,embedding,1.8e-05,,,
2300,embedding,3e-06,,,
2400,embedding,4.5e-05,,,
2500,embedding,1.1e-05,,,
2600,embedding,1.7e-05,,,
2700,embedding,2.9e-05,,,
2800,embedding,4e-06,,,
2900,embedding,2.3e-05,,,
3000,embedding,1.1e-05,,,
3100,embedding,2e-06,,,
3200,embedding,4e-06,,,
3300,embedding,2e-05,,,
3400,embedding,1.6e-05,,,
3500,embedding,4e-06,,,
3600,embedding,1e-05,,,
3700,embedding,6e-06,,,
3800,embedding,5.5e-05,,,
3900,embedding,2.7e-05,,,
4000,embedding,4e-06,,,
4100,embedding,1e-06,,,
4200,embedding,4e-06,,,
4300,embedding,2.4e-05,,,
4400,embedding,8e-06,,,
4500,embedding,3e-06,,,
4600,embedding,6e-06,,,
4700,embedding,4e-06,,,
4800,embedding,2.1e-05,,,
4900,embedding,1e-06,,,
5000,embedding,3e-05,,,
100,supervised,,0.000425,,
200,supervised,,0.000236,,
300,supervised,,0.000139,,
400,supervised,,0.000117,,
500,supervised,,0.000101,,
600,supervised,,0.000103,,
700,supervised,,7.8e-05,,
800,supervised,,8.3e-05,,
900,supervised,,8.6e-05,,
1000,supervised,,8e-05,,
1100,supervised,,7.9e-05,,
1200,supervised,,8.2e-05,,
1300,supervised,,7.6e-05,,
1400,supervised,,8.1e-05,,
1500,supervised,,7.7e-05,,
1600,supervised,,7.8e-05,,
1700,supervised,,7.6e-05,,
1800,supervised,,7.6e-05,,
1900,supervised,,7.5e-05,,
2000,supervised,,7.4e-05,,
2100,supervised,,7.4e-05,,
2200,supervised,,7.6e-05,,
2300,supervised,,7.8e-05,,
2400,supervised,,7.8e-05,,
2500,supervised,,7.8e-05,,
2600,supervised,,7.8e-05,,
2700,supervised,,7.5e-05,,
2800,supervised,,7.8e-05,,
2900,supervised,,7.2e-05,,
3000,supervised,,7.5e-05,,
3100,supervised,,7.8e-05,,
3200,supervised,,7.5e-05,,
3300,supervised,,7.3e-05,,
3400,supervised,,7.6e-05,,
3500,supervised,,7.7e-05,,
3600,supervised,,7.3e-05,,
3700,supervised,,7.3e-05,,
3800,supervised,,7.6e-05,,
3900,supervised,,7.7e-05,,
4000,supervised,,8e-05,,
4100,supervised,,7.4e-05,,
4200,supervised,,7.8e-05,,
4300,supervised,,7.2e-05,,
4400,supervised,,7.9e-05,,
4500,supervised,,7.6e-05,,
4600,supervised,,7.4e-05,,
4700,supervised,,7.7e-05,,
4800,supervised,,7.5e-05,,
4900,supervised,,7.3e-05,,
5000,supervised,,7.6e-05,,
100,joint,3.3e-05,0.000109,7.545552,1.639688
200,joint,8e-06,9.4e-05,6.3712,1.856246
300,joint,2e-06,0.000135,5.909565,1.84472
400,joint,3e-06,0.000132,4.939152,1.870462
500,joint,3e-06,0.000127,7.417079,0.936802
600,joint,4.5e-05,0.00013,6.185637,1.856869
700,joint,1e-06,0.000182,6.493875,1.795505
800,joint,7e-06,0.000112,10.383087,1.49354
900,joint,6e-06,0.000118,6.995185,0.515627
1000,joint,1e-06,0.000118,11.476824,0.376771
1100,joint,6e-06,0.000141,9.931468,0.53168
1200,joint,3e-06,0.000126,10.764777,0.765871
1300,joint,3.7e-05,0.000242,9.102024,1.528136
1400,joint,9e-06,0.000182,13.437587,1.576901
1500,joint,1.2e-05,0.000176,10.791237,1.520589
1600,joint,2e-06,0.000104,7.754979,1.319487
1700,joint,1e-06,0.00014,8.50168,1.308072
1800,joint,4.9e-05,0.000141,5.532871,1.662233
1900,joint,7e-06,0.000168,8.160951,1.933667
2000,joint,4.7e-05,0.000115,6.560026,1.436532
2100,joint,9e-06,0.000118,6.548301,1.492806
2200,joint,8e-06,0.00012,6.825945,1.382033
