metric,mean,std,seed_0,seed_1,seed_2,seed_3,seed_4
A1_kurtosis_error,0.008092,0.006811,0.011760,0.004981,0.000599,0.003541,0.019578
A2_abs_r_q95_error,0.000066,0.000060,0.000143,0.000010,0.000133,0.000021,0.000021
A3_abs_r_q99_error,0.000060,0.000032,0.000085,0.000014,0.000049,0.000045,0.000106
A4_tail_qq_error,0.000068,0.000037,0.000125,0.000026,0.000094,0.000056,0.000036
A5_hill_tail_index_error,0.526562,0.557224,0.001467,1.605355,0.388678,0.257360,0.379952
A6_path_mmd2,0.001842,0.000255,0.002264,0.001629,0.001832,0.001948,0.001540
A7_terminal_mmd2,0.001983,0.000889,0.003007,0.001493,0.001179,0.003112,0.001122
A8_increment_mmd2,0.000869,0.000027,0.000910,0.000859,0.000837,0.000890,0.000848
A9_volatility_mmd,0.008554,0.001549,0.010154,0.007398,0.007333,0.010717,0.007167
A10_terminal_swd,1.150967,0.486835,2.006639,1.379756,0.771973,0.861649,0.734816
A11_path_swd,0.619101,0.196009,0.997349,0.600228,0.560131,0.462951,0.474848
A12_rv_law_loss,0.052018,0.006560,0.061908,0.048400,0.050655,0.056285,0.042843
A13_mean_path_rmse,0.120546,0.051746,0.079267,0.084283,0.219976,0.120632,0.098571
A14_ks_logreturns,0.001491,0.000579,0.002405,0.000962,0.001936,0.000983,0.001168
A15_skewness_error,0.005274,0.001459,0.003912,0.006696,0.004703,0.003752,0.007307
A16_qq_rmse,0.000042,0.000019,0.000072,0.000025,0.000055,0.000032,0.000025
A17_terminal_ks,0.010986,0.001563,0.012085,0.011963,0.011841,0.007935,0.011108
A18_disc_score_gru,0.006195,0.007171,0.019683,0.007476,0.001984,0.000763,0.001068
A18_disc_score_mlp,0.005951,0.003469,0.006866,0.004730,0.005340,0.001068,0.011749
A19_pred_score_gru,0.050020,0.000011,0.050021,0.050013,0.050011,0.050040,0.050013
A19_pred_score_mlp,0.050364,0.000663,0.049899,0.050416,0.049903,0.049969,0.051632
A20_cov_error,4.923191,3.283641,7.508968,4.924879,1.775797,0.892564,9.513747
A21_acf_abs,0.002234,0.000662,0.001668,0.002936,0.003093,0.002010,0.001464
A22_acf_sq,0.002206,0.000632,0.001293,0.002934,0.002854,0.002207,0.001745
A23_acf_lag1_abs_error,0.002652,0.001035,0.002203,0.002454,0.004686,0.002048,0.001870
A24_acf_lag1_sq_error,0.002790,0.000939,0.001913,0.002253,0.004582,0.002786,0.002417
A25_mean_rmse,0.139243,0.063595,0.172566,0.018259,0.199768,0.137935,0.167687
A26_std_error,0.002523,0.001767,0.005739,0.001455,0.002377,0.000496,0.002548
A27_logreturn_std_error,0.000031,0.000025,0.000068,0.000018,0.000053,0.000011,0.000006
A28_kurtosis_ratio,1.005880,0.009834,0.999004,1.022284,1.006018,1.008808,0.993286
A29_sigma_mean_error,0.000496,0.000424,0.001112,0.000406,0.000847,0.000004,0.000113
A30_vol_path_rmse,0.143193,0.030180,0.159292,0.148059,0.135046,0.091381,0.182187
A31_rolling_vol_ks,0.003814,0.001210,0.005462,0.003457,0.004893,0.003135,0.002124
A32_vol_of_vol_error,0.000015,0.000010,0.000011,0.000015,0.000002,0.000033,0.000017
A33_sigma_corr,0.616295,0.002371,0.613917,0.619721,0.615704,0.618332,0.613801
A34_sigma_rmse,0.065595,0.000137,0.065515,0.065418,0.065538,0.065712,0.065791
B_log_ret_hist_funct,0.037954,0.002911,0.042596,0.039025,0.035172,0.034534,0.038442
B_log_ret_hist_der,0.073221,0.016366,0.055919,0.094531,0.053496,0.075030,0.087130
B_log_ret_hist_sec_der,0.218316,0.058357,0.156700,0.299010,0.152734,0.215710,0.267427
B_log_ret_hist_funct_pct,1.770867,0.044065,1.757029,1.725268,1.834875,1.809389,1.727775
B_log_ret_hist_der_pct,39.111540,2.936816,34.717690,43.614059,37.555806,39.636884,40.033260
B_log_ret_hist_sec_der_pct,829.976186,420.225187,740.063583,1345.053201,349.660041,1291.909610,423.194497
B_log_ret_hist_funct_nrmse,0.532756,0.020348,0.564809,0.540618,0.513233,0.508561,0.536559
B_log_ret_hist_der_nrmse,14.606022,1.659951,12.846372,16.702716,12.564980,14.880515,16.035527
