step,train_bce
50,0.692658
100,0.693773
150,0.68564
200,0.697013
250,0.694025
300,0.693932
350,0.693312
400,0.693628
450,0.69654
500,0.691697
550,0.692088
600,0.69167
650,0.692745
700,0.693949
750,0.695107
800,0.693126
850,0.694636
900,0.68983
950,0.686556
1000,0.693861
1050,0.690129
1100,0.684042
1150,0.680947
1200,0.669385
1250,0.686399
1300,0.673034
1350,0.678744
1400,0.670066
1450,0.699908
1500,0.65262
1550,0.658401
1600,0.678825
1650,0.654849
1700,0.689416
1750,0.658264
1800,0.663684
1850,0.657894
1900,0.65436
1950,0.65636
2000,0.652576
