step,train_bce
50,0.693558
100,0.693494
150,0.693294
200,0.693425
250,0.693166
300,0.687055
350,0.695043
400,0.692096
450,0.693107
500,0.693256
550,0.694137
600,0.694897
650,0.694556
700,0.691063
750,0.695177
800,0.694164
850,0.691602
900,0.690289
950,0.695799
1000,0.687789
1050,0.691288
1100,0.69552
1150,0.69401
1200,0.695374
1250,0.691286
1300,0.691632
1350,0.695441
1400,0.701678
1450,0.691742
1500,0.690396
1550,0.69677
1600,0.6896
1650,0.689381
1700,0.691596
1750,0.693086
1800,0.68973
1850,0.687376
1900,0.692704
1950,0.703036
2000,0.684515
