metric,mean,std,seed_0,seed_1,seed_2,seed_3,seed_4
A1_kurtosis_error,0.561155,0.112770,0.568497,0.651773,0.443529,0.427304,0.714671
A2_abs_r_q95_error,0.097179,0.003466,0.102676,0.096245,0.093361,0.099463,0.094150
A3_abs_r_q99_error,0.123991,0.005959,0.126091,0.121359,0.120068,0.134611,0.117825
A4_tail_qq_error,0.095709,0.003535,0.101197,0.094697,0.091901,0.098256,0.092493
A5_hill_tail_index_error,1.562955,1.205903,1.622468,2.911927,2.879006,0.246582,0.154793
A6_path_mmd2,0.046709,0.003833,0.051055,0.040133,0.049524,0.047689,0.045142
A7_terminal_mmd2,0.013771,0.013709,0.003379,0.001441,0.005550,0.021078,0.037407
A8_increment_mmd2,0.478422,0.010754,0.495145,0.479389,0.461369,0.476283,0.479924
A9_volatility_mmd,3.960464,0.043188,3.952560,4.015018,3.888207,3.992484,3.954049
A10_terminal_swd,4.549923,3.114899,2.723410,1.086247,2.336233,8.051631,8.552096
A11_path_swd,3.486099,0.187123,3.764403,3.221742,3.617267,3.412340,3.414745
A12_rv_law_loss,118.768169,7.929166,129.781578,118.368379,107.774348,124.956895,112.959646
A13_mean_path_rmse,4.006655,0.194056,4.272060,3.736047,4.180846,3.922242,3.922080
A14_ks_logreturns,0.320835,0.007278,0.315649,0.323629,0.312218,0.333242,0.319437
A15_skewness_error,0.044471,0.038573,0.112774,0.014553,0.061544,0.021720,0.011763
A16_qq_rmse,0.048591,0.001967,0.051424,0.048663,0.045778,0.049847,0.047242
A17_terminal_ks,0.148096,0.098463,0.099243,0.025269,0.093628,0.226074,0.296265
A18_disc_score_gru,0.499817,0.000244,0.499390,0.500000,0.499695,0.500000,0.500000
A18_disc_score_mlp,0.500000,0.000000,0.500000,0.500000,0.500000,0.500000,0.500000
A19_pred_score_gru,0.130784,0.017656,0.147575,0.106454,0.136196,0.149920,0.113776
A19_pred_score_mlp,0.108911,0.007067,0.118197,0.111618,0.096705,0.110912,0.107123
A20_cov_error,28.895024,25.359713,10.835476,4.774892,67.760576,10.657059,50.447118
A21_acf_abs,0.080617,0.020557,0.078700,0.109294,0.065653,0.097006,0.052430
A22_acf_sq,0.090178,0.021376,0.085274,0.120626,0.073732,0.108231,0.063028
A23_acf_lag1_abs_error,0.166321,0.049302,0.175828,0.195530,0.141413,0.231853,0.086980
A24_acf_lag1_sq_error,0.191573,0.051053,0.210934,0.232704,0.167256,0.243198,0.103773
A25_mean_rmse,4.499542,3.381680,3.278687,0.785594,1.410093,8.232476,8.790861
A26_std_error,5.033376,0.222877,5.299590,5.083022,4.684016,5.212024,4.888228
A27_logreturn_std_error,0.049775,0.002001,0.052527,0.049708,0.046970,0.051347,0.048324
A28_kurtosis_ratio,-7.994081,11.880892,-19.070006,-9.026892,6.220713,4.696199,-22.790420
A29_sigma_mean_error,0.787470,0.030942,0.830847,0.788060,0.743957,0.809733,0.764754
A30_vol_path_rmse,1.064503,0.260838,1.022735,0.884184,1.569123,0.998633,0.847840
A31_rolling_vol_ks,0.937258,0.007647,0.943713,0.945334,0.923664,0.937167,0.936411
A32_vol_of_vol_error,0.018057,0.001147,0.019149,0.016847,0.018091,0.019499,0.016700
A33_sigma_corr,-0.004309,0.013093,-0.029124,-0.005451,0.002632,0.007555,0.002845
A34_sigma_rmse,0.809497,0.028831,0.855481,0.810520,0.772060,0.821934,0.787491
B_log_ret_hist_funct,127.344222,5.888797,122.872955,121.217928,123.645820,134.507397,134.477011
B_log_ret_hist_der,0.824249,0.036305,0.815366,0.764171,0.818827,0.868725,0.854155
B_log_ret_hist_sec_der,0.424007,0.058135,0.400475,0.345318,0.437945,0.523202,0.413096
B_log_ret_hist_funct_pct,248.649453,7.948296,241.567840,242.413468,242.554698,259.153939,257.557317
B_log_ret_hist_der_pct,160.121789,30.116475,155.015511,107.693173,182.510071,159.788407,195.601783
B_log_ret_hist_sec_der_pct,365480.341902,445589.751173,195736.994016,102207.841958,97743.605828,178541.146174,1253172.121535
B_qq_plot_funct,0.002462,0.000197,0.002742,0.002460,0.002188,0.002603,0.002318
B_qq_plot_der,0.000014,0.000003,0.000012,0.000012,0.000013,0.000020,0.000011
B_qq_plot_sec_der,0.000002,0.000001,0.000001,0.000001,0.000002,0.000003,0.000001
B_qq_plot_funct_pct,437.164851,19.282154,448.243778,436.788509,401.119868,457.444060,442.228040
B_qq_plot_der_pct,403.587037,16.378880,425.930259,404.659949,379.159588,415.132537,393.052853
B_qq_plot_sec_der_pct,469.178348,62.544463,581.625271,395.669250,475.280234,461.818148,431.498838
B_acf_abs_r_funct,0.005866,0.002164,0.004277,0.009336,0.004108,0.007498,0.004109
B_acf_abs_r_der,0.007111,0.004043,0.006699,0.014939,0.005280,0.005145,0.003494
B_acf_abs_r_sec_der,0.012630,0.005136,0.013363,0.021554,0.012949,0.008615,0.006670
B_acf_abs_r_funct_pct,211.797958,41.109784,190.397730,289.822402,189.330186,214.920676,174.518795
B_acf_abs_r_der_pct,3503.283287,892.805568,3702.410014,4931.322262,3785.340880,2501.560844,2595.782433
B_acf_abs_r_sec_der_pct,9327.209842,1832.284309,9022.442759,12452.396426,9819.699480,6897.313206,8444.197337
