step,train_bce
50,0.695391
100,0.692886
150,0.687408
200,0.676464
250,0.554656
300,0.177189
350,0.074158
400,0.02717
450,0.019462
500,0.016134
550,0.013616
600,0.011603
650,0.020085
700,0.016633
750,0.013617
800,0.011595
850,0.010237
900,0.008961
950,0.008042
1000,0.007228
1050,0.006583
1100,0.006033
1150,0.005419
1200,0.005052
1250,0.004677
1300,0.004335
1350,0.004105
1400,0.003776
1450,0.003566
1500,0.003303
1550,0.003138
1600,0.002915
1650,0.002827
1700,0.002651
1750,0.002494
1800,0.002375
1850,0.002242
1900,0.002146
1950,0.002012
2000,0.001948
