step,train_bce
50,0.008712
100,0.001302
150,0.000586
200,0.000442
250,0.000231
300,0.000202
350,0.000121
400,0.000121
450,9e-05
500,6.8e-05
550,4.8e-05
600,3.5e-05
650,3.9e-05
700,2.8e-05
750,3.2e-05
800,2.4e-05
850,2.3e-05
900,2.3e-05
950,1.6e-05
1000,2.3e-05
1050,1.6e-05
1100,1.2e-05
1150,1.2e-05
1200,1.2e-05
1250,8e-06
1300,9e-06
1350,8e-06
1400,7e-06
1450,6e-06
1500,7e-06
1550,7e-06
1600,5e-06
1650,5e-06
1700,5e-06
1750,5e-06
1800,5e-06
1850,4e-06
1900,4e-06
1950,3e-06
2000,3e-06
