step,train_bce
50,0.692822
100,0.691712
150,0.693064
200,0.691279
250,0.695303
300,0.694077
350,0.694431
400,0.692517
450,0.689906
500,0.69537
550,0.692592
600,0.6937
650,0.693317
700,0.693601
750,0.692091
800,0.692437
850,0.692659
900,0.691809
950,0.693181
1000,0.693708
1050,0.692982
1100,0.693983
1150,0.691659
1200,0.693092
1250,0.693219
1300,0.692833
1350,0.693268
1400,0.694255
1450,0.69363
1500,0.693339
1550,0.693059
1600,0.694651
1650,0.69362
1700,0.694707
1750,0.693962
1800,0.695791
1850,0.693234
1900,0.693102
1950,0.693042
2000,0.693215
