step,train_bce
50,0.696585
100,0.693876
150,0.693324
200,0.692693
250,0.693506
300,0.692912
350,0.694385
400,0.693303
450,0.693624
500,0.693112
550,0.69331
600,0.693326
650,0.692995
700,0.693614
750,0.69207
800,0.692199
850,0.694149
900,0.692598
950,0.692557
1000,0.691982
1050,0.691465
1100,0.692759
1150,0.69296
1200,0.693172
1250,0.69256
1300,0.69752
1350,0.692738
1400,0.692017
1450,0.693023
1500,0.693071
1550,0.690277
1600,0.69351
1650,0.69167
1700,0.693022
1750,0.693212
1800,0.694698
1850,0.6911
1900,0.691756
1950,0.692618
2000,0.692624
