metric,mean,std,seed_0,seed_1,seed_2,seed_3,seed_4
A1_kurtosis_error,33212.743090,61712.796980,5911.593631,43.248165,195.107452,156561.663912,3352.102288
A2_abs_r_q95_error,0.008183,0.000128,0.007993,0.008330,0.008236,0.008074,0.008280
A3_abs_r_q99_error,0.026208,0.000000,0.026208,0.026208,0.026208,0.026208,0.026208
A4_tail_qq_error,0.013287,0.000055,0.013229,0.013351,0.013286,0.013222,0.013346
A5_hill_tail_index_error,16.949120,0.328698,17.504060,16.704793,16.664466,17.149673,16.722608
A6_path_mmd2,0.015672,0.001487,0.014358,0.016317,0.015509,0.014023,0.018155
A7_terminal_mmd2,0.027265,0.001487,0.027390,0.025273,0.027389,0.026475,0.029800
A8_increment_mmd2,0.012233,0.000559,0.011677,0.011605,0.012695,0.012155,0.013032
A9_volatility_mmd,0.781946,0.034056,0.756964,0.753493,0.789321,0.764663,0.845288
A10_terminal_swd,13.266463,11.054123,8.969889,5.686505,8.121299,35.262675,8.291950
A11_path_swd,3.662606,1.762629,3.183392,2.167036,2.922306,7.121818,2.918476
A12_rv_law_loss,8.120286,0.077488,8.067766,8.042047,8.078221,8.253810,8.159585
A13_mean_path_rmse,2.966285,0.501593,2.852056,2.529933,2.807351,3.944565,2.697522
A14_ks_logreturns,0.282966,0.000609,0.282708,0.283283,0.282238,0.282619,0.283984
A15_skewness_error,0.315257,0.080304,0.296707,0.216359,0.266879,0.453074,0.343267
A16_qq_rmse,0.007833,0.000011,0.007820,0.007848,0.007831,0.007823,0.007842
A17_terminal_ks,0.123926,0.002006,0.126099,0.122803,0.126465,0.122925,0.121338
A18_disc_score_gru,0.160604,0.078034,0.009002,0.164327,0.211321,0.200336,0.218035
A18_disc_score_mlp,0.022978,0.011503,0.027312,0.010528,0.026091,0.010223,0.040738
A19_pred_score_gru,0.050029,0.000023,0.050073,0.050018,0.050034,0.050012,0.050010
A19_pred_score_mlp,0.050235,0.000300,0.050018,0.050174,0.049891,0.050756,0.050337
A20_cov_error,19191.793183,37245.558156,740.096131,444.946621,533.658015,93682.662260,557.602889
A21_acf_abs,0.133935,0.001922,0.132365,0.133173,0.133418,0.133002,0.137716
A22_acf_sq,0.072196,0.001298,0.071289,0.071891,0.071839,0.071224,0.074734
A23_acf_lag1_abs_error,0.190463,0.002310,0.189198,0.189099,0.189713,0.189243,0.195064
A24_acf_lag1_sq_error,0.103962,0.001707,0.104010,0.103236,0.102836,0.102503,0.107224
A25_mean_rmse,7.034390,1.427635,6.626839,5.954423,6.475603,9.853698,6.261386
A26_std_error,7.660703,13.383330,1.047869,0.875380,0.930509,34.427073,1.022683
A27_logreturn_std_error,0.006403,0.000058,0.006381,0.006347,0.006380,0.006516,0.006393
A28_kurtosis_ratio,0.098588,0.029397,0.105550,0.138222,0.112140,0.049685,0.087342
