step,train_bce
50,0.692955
100,0.692952
150,0.690925
200,0.693143
250,0.687593
300,0.692559
350,0.692697
400,0.696183
450,0.691859
500,0.693591
550,0.692481
600,0.696181
650,0.691451
700,0.682676
750,0.686373
800,0.685706
850,0.653481
900,0.611209
950,0.662447
1000,0.595364
1050,0.656149
1100,0.594187
1150,0.546958
1200,0.641171
1250,0.584901
1300,0.669001
1350,0.630054
1400,0.598021
1450,1.37161
1500,0.906005
1550,0.727751
1600,0.704858
1650,0.701717
1700,0.692735
1750,0.693791
1800,0.690364
1850,0.691023
1900,0.69301
1950,0.693003
2000,0.692822
