step,train_bce
50,0.691713
100,0.692567
150,0.690464
200,0.692068
250,0.690502
300,0.691935
350,0.689026
400,0.693063
450,0.695916
500,0.692357
550,0.692586
600,0.690193
650,0.688899
700,0.68728
750,0.692446
800,0.694315
850,0.694851
900,0.69371
950,0.686848
1000,0.686842
1050,0.693776
1100,0.690963
1150,0.700519
1200,0.683441
1250,0.687195
1300,0.682202
1350,0.686582
1400,0.67573
1450,0.687158
1500,0.682298
1550,0.669673
1600,0.669467
1650,0.686162
1700,0.671256
1750,0.684678
1800,0.664653
1850,0.674856
1900,0.68137
1950,0.68707
2000,0.688358
