step,train_bce
50,0.697237
100,0.692704
150,0.693103
200,0.691355
250,0.692968
300,0.692321
350,0.693371
400,0.690703
450,0.694225
500,0.693211
550,0.692832
600,0.693047
650,0.693043
700,0.69482
750,0.691729
800,0.692899
850,0.690836
900,0.692295
950,0.691981
1000,0.693316
1050,0.692784
1100,0.69157
1150,0.697811
1200,0.691818
1250,0.680082
1300,0.622864
1350,0.687811
1400,0.682337
1450,0.615696
1500,0.5841
1550,0.61903
1600,0.578105
1650,0.664714
1700,0.67547
1750,0.611204
1800,0.703025
1850,0.698729
1900,0.69041
1950,0.692946
2000,0.689287
