step,train_bce
50,0.692405
100,0.693107
150,0.694652
200,0.692766
250,0.693248
300,0.687531
350,0.693236
400,0.69071
450,0.691913
500,0.704841
550,0.690416
600,0.692039
650,0.691748
700,0.690034
750,0.692073
800,0.693007
850,0.683425
900,0.695999
950,0.691265
1000,0.689917
1050,0.69426
1100,0.690244
1150,0.692264
1200,0.692935
1250,0.693496
1300,0.691137
1350,0.691653
1400,0.675088
1450,0.676256
1500,0.673096
1550,0.673385
1600,0.692255
1650,0.695493
1700,0.690984
1750,0.650649
1800,0.661446
1850,0.683348
1900,0.665428
1950,0.679406
2000,0.660708
