metric,mean,std,seed_0,seed_1,seed_2,seed_3,seed_4
A1_kurtosis_error,0.333450,0.027063,0.375607,0.338338,0.301971,0.306315,0.345017
A2_abs_r_q95_error,0.000210,0.000113,0.000290,0.000176,0.000010,0.000333,0.000241
A3_abs_r_q99_error,0.000375,0.000254,0.000839,0.000334,0.000089,0.000217,0.000394
A4_tail_qq_error,0.000270,0.000030,0.000292,0.000265,0.000270,0.000303,0.000217
A5_hill_tail_index_error,5.109965,0.666262,5.894941,5.850169,4.712543,4.907728,4.184442
A6_path_mmd2,0.002031,0.000148,0.001779,0.002152,0.002088,0.002180,0.001955
A7_terminal_mmd2,0.002535,0.001066,0.001171,0.003995,0.003484,0.001663,0.002362
A8_increment_mmd2,0.000942,0.000034,0.000999,0.000921,0.000917,0.000962,0.000912
A9_volatility_mmd,0.017434,0.000918,0.018873,0.017918,0.017134,0.017121,0.016123
A10_terminal_swd,0.933388,0.195157,0.701629,0.909954,1.244032,1.043743,0.767581
A11_path_swd,0.550946,0.053897,0.499683,0.501981,0.566068,0.646644,0.540358
A12_rv_law_loss,0.121466,0.042300,0.195218,0.082862,0.090601,0.142294,0.096356
A13_mean_path_rmse,0.149997,0.051806,0.109992,0.230027,0.183997,0.140540,0.085430
A14_ks_logreturns,0.008172,0.001151,0.009454,0.007865,0.008078,0.006233,0.009230
A15_skewness_error,0.058615,0.003704,0.060110,0.062389,0.057981,0.051772,0.060823
A16_qq_rmse,0.000213,0.000027,0.000260,0.000210,0.000201,0.000176,0.000216
A17_terminal_ks,0.033325,0.006508,0.027222,0.034302,0.036621,0.043213,0.025269
A18_disc_score_gru,0.007355,0.003169,0.006256,0.002289,0.007782,0.008392,0.012054
A18_disc_score_mlp,0.003448,0.001642,0.004425,0.003509,0.000458,0.003509,0.005340
A19_pred_score_gru,0.050035,0.000023,0.050014,0.050057,0.050021,0.050014,0.050067
A19_pred_score_mlp,0.050099,0.000226,0.049923,0.049960,0.050040,0.050027,0.050543
A20_cov_error,12.219546,3.899528,18.335688,12.301109,12.491177,11.952857,6.016900
A21_acf_abs,0.014129,0.001621,0.016263,0.013374,0.011518,0.014269,0.015217
A22_acf_sq,0.008819,0.001354,0.010759,0.008410,0.006776,0.008394,0.009757
A23_acf_lag1_abs_error,0.017623,0.001716,0.019852,0.016608,0.014908,0.018716,0.018032
A24_acf_lag1_sq_error,0.011445,0.001556,0.013175,0.011409,0.008572,0.011749,0.012318
A25_mean_rmse,0.265277,0.072861,0.223407,0.335961,0.327338,0.296695,0.142984
A26_std_error,0.011218,0.005529,0.008511,0.008698,0.004810,0.020937,0.013133
A27_logreturn_std_error,0.000039,0.000033,0.000004,0.000028,0.000101,0.000041,0.000021
A28_kurtosis_ratio,1.182064,0.135222,1.388518,1.260913,1.082367,1.001455,1.177065
A29_sigma_mean_error,0.001118,0.000445,0.001145,0.001052,0.001918,0.000571,0.000903
A30_vol_path_rmse,0.262312,0.059181,0.378476,0.254111,0.220173,0.231504,0.227296
A31_rolling_vol_ks,0.024883,0.003857,0.031461,0.023233,0.023425,0.019968,0.026326
A32_vol_of_vol_error,0.000172,0.000060,0.000275,0.000171,0.000093,0.000137,0.000183
A33_sigma_corr,-0.001032,0.006621,0.007350,-0.007386,0.001398,0.003547,-0.010071
A34_sigma_rmse,0.097183,0.001019,0.095221,0.097410,0.098145,0.097752,0.097385
grid_tvd,3.574753,0.406857,2.985859,3.724098,3.776932,4.134750,3.252125
B_log_ret_hist_funct,0.486329,0.102995,0.653220,0.450673,0.421237,0.359739,0.546777
B_log_ret_hist_der,0.087440,0.020755,0.114876,0.068564,0.059957,0.104336,0.089464
B_log_ret_hist_sec_der,0.198597,0.059610,0.266976,0.146690,0.116048,0.258086,0.205183
B_log_ret_hist_funct_pct,3.424209,0.312321,3.964936,3.340982,2.990815,3.424195,3.400117
B_log_ret_hist_der_pct,38.099192,4.328360,43.160744,42.551463,31.502681,36.159824,37.121247
B_log_ret_hist_sec_der_pct,217866.636663,126387.745406,188658.961902,72653.533083,331996.945454,394787.515678,101236.227197
B_log_ret_hist_funct_nrmse,1.898018,0.199321,2.211803,1.837163,1.776152,1.641386,2.023587
B_log_ret_hist_der_nrmse,15.947209,1.933552,18.412554,14.224862,13.302127,17.547594,16.248909
B_log_ret_hist_sec_der_nrmse,36.405659,5.704367,42.725394,31.670185,28.168783,42.007979,37.455954
B_log_ret_hist_funct_cvar90,4.830887,0.458701,5.536606,4.684569,4.541033,4.242109,5.150119
B_log_ret_hist_funct_cvar95,5.967022,0.621793,6.778866,5.846401,5.808447,4.961616,6.439782
B_qq_plot_funct,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
B_qq_plot_der,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
B_qq_plot_sec_der,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
B_qq_plot_funct_pct,4.986709,0.696901,5.415060,4.990236,4.639682,3.914518,5.974047
