step,train_bce
50,0.692453
100,0.693355
150,0.693457
200,0.694209
250,0.693354
300,0.693052
350,0.693548
400,0.693192
450,0.692143
500,0.693903
550,0.693146
600,0.694929
650,0.692297
700,0.694876
750,0.693855
800,0.693503
850,0.69306
900,0.692044
950,0.692385
1000,0.690579
1050,0.693871
1100,0.693622
1150,0.694714
1200,0.693002
1250,0.692922
1300,0.691941
1350,0.692194
1400,0.693196
1450,0.692762
1500,0.692974
1550,0.693489
1600,0.693172
1650,0.692473
1700,0.693447
1750,0.693219
1800,0.693359
1850,0.693314
1900,0.693535
1950,0.69321
2000,0.692931
