step,train_bce
50,0.693567
100,0.697278
150,0.692976
200,0.693064
250,0.695254
300,0.693032
350,0.69349
400,0.693614
450,0.691859
500,0.693085
550,0.69465
600,0.693438
650,0.692847
700,0.693658
750,0.693129
800,0.693288
850,0.69313
900,0.693061
950,0.69267
1000,0.694028
1050,0.692107
1100,0.693176
1150,0.693429
1200,0.694068
1250,0.69335
1300,0.694037
1350,0.693356
1400,0.693125
1450,0.692541
1500,0.693029
1550,0.693257
1600,0.6921
1650,0.692689
1700,0.692936
1750,0.693519
1800,0.69336
1850,0.692997
1900,0.69326
1950,0.693724
2000,0.69241
