metric,mean,std,seed_0,seed_1,seed_2,seed_3,seed_4
A1_kurtosis_error,0.423843,0.023026,0.423150,0.393188,0.464585,0.417298,0.420996
A2_abs_r_q95_error,0.006833,0.000157,0.006913,0.007039,0.006594,0.006902,0.006717
A3_abs_r_q99_error,0.010309,0.000175,0.010348,0.010401,0.010106,0.010569,0.010122
A4_tail_qq_error,0.006728,0.000150,0.006795,0.006929,0.006508,0.006799,0.006609
A5_hill_tail_index_error,3.612620,0.278884,3.409383,3.967370,3.560455,3.235782,3.890108
A6_path_mmd2,0.003325,0.000656,0.003727,0.003280,0.002112,0.003482,0.004024
A7_terminal_mmd2,0.002071,0.000392,0.002526,0.002160,0.001350,0.002068,0.002251
A8_increment_mmd2,0.011243,0.000937,0.011656,0.012267,0.009532,0.011700,0.011062
A9_volatility_mmd,0.384030,0.031425,0.408482,0.407189,0.325067,0.401159,0.378253
A10_terminal_swd,1.358333,0.215233,1.328509,1.700593,1.040944,1.280662,1.440959
A11_path_swd,0.983821,0.110733,1.028062,1.004905,0.776145,1.001870,1.108125
A12_rv_law_loss,2.250251,0.049125,2.268015,2.319378,2.180759,2.273107,2.209994
A13_mean_path_rmse,0.361507,0.236383,0.216537,0.590339,0.701530,0.166134,0.132996
A14_ks_logreturns,0.060037,0.001870,0.060523,0.062655,0.056911,0.060607,0.059491
A15_skewness_error,0.069786,0.035758,0.079899,0.030232,0.029639,0.085958,0.123201
A16_qq_rmse,0.003048,0.000083,0.003076,0.003172,0.002928,0.003077,0.002990
A17_terminal_ks,0.040039,0.007269,0.029419,0.047974,0.043091,0.046143,0.033569
A18_disc_score_gru,0.262099,0.157822,0.370003,0.404181,0.028227,0.116417,0.391669
A18_disc_score_mlp,0.055447,0.039623,0.016326,0.004120,0.070034,0.110619,0.076137
A19_pred_score_gru,0.054908,0.000159,0.055025,0.054669,0.054961,0.054785,0.055101
A19_pred_score_mlp,0.055118,0.000372,0.054996,0.054579,0.055389,0.055657,0.054969
A20_cov_error,38.172306,10.636973,27.684319,35.689176,30.357486,57.851372,39.279178
A21_acf_abs,0.020124,0.002992,0.020425,0.014596,0.020272,0.023437,0.021889
A22_acf_sq,0.016777,0.002660,0.015723,0.012027,0.018151,0.018983,0.019001
A23_acf_lag1_abs_error,0.003915,0.002234,0.006557,0.000987,0.002250,0.006429,0.003351
A24_acf_lag1_sq_error,0.003807,0.002620,0.000042,0.006931,0.006331,0.001804,0.003927
A25_mean_rmse,0.576742,0.444418,0.329756,1.027547,1.177185,0.314897,0.034327
A26_std_error,0.309769,0.009292,0.313167,0.323529,0.295559,0.311797,0.304790
A27_logreturn_std_error,0.003211,0.000082,0.003240,0.003327,0.003096,0.003248,0.003143
A28_kurtosis_ratio,1.866333,0.250949,1.865135,1.433899,2.128796,2.100813,1.803022
A29_sigma_mean_error,0.048469,0.001266,0.048953,0.050384,0.046678,0.048769,0.047564
A30_vol_path_rmse,1.154355,0.201939,1.136799,0.890641,1.007299,1.470221,1.266818
A31_rolling_vol_ks,0.255828,0.007804,0.253950,0.269569,0.248132,0.258448,0.249042
A32_vol_of_vol_error,0.001586,0.000038,0.001583,0.001563,0.001588,0.001655,0.001541
A33_sigma_corr,-0.003594,0.003165,-0.003473,-0.003169,-0.008930,0.001031,-0.003429
A34_sigma_rmse,0.096023,0.000741,0.096143,0.097404,0.095334,0.095527,0.095705
B_log_ret_hist_funct,14.006015,1.465706,14.275334,16.394416,11.899034,14.162768,13.298524
B_log_ret_hist_der,0.238569,0.034433,0.266324,0.245508,0.173704,0.268606,0.238701
B_log_ret_hist_sec_der,0.260796,0.088233,0.356108,0.166797,0.152365,0.356251,0.272456
B_log_ret_hist_funct_pct,41.942784,0.995747,42.310768,43.375227,40.470499,42.302543,41.254885
B_log_ret_hist_der_pct,303.837872,43.978169,332.169459,265.521944,249.007383,302.387174,370.103401
B_log_ret_hist_sec_der_pct,19514.763724,12603.714403,15265.560484,32813.942998,35445.059918,2928.113901,11121.141317
B_qq_plot_funct,0.000010,0.000001,0.000010,0.000011,0.000009,0.000010,0.000010
B_qq_plot_der,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
B_qq_plot_sec_der,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
B_qq_plot_funct_pct,25.391916,1.704053,25.640757,26.437978,22.044489,26.578039,26.258318
B_qq_plot_der_pct,24.529516,0.745092,24.755746,25.667202,23.472831,24.740947,24.010851
B_qq_plot_sec_der_pct,75.578846,7.646960,64.814146,76.081748,70.637040,87.438116,78.923181
B_acf_abs_r_funct,0.000475,0.000122,0.000482,0.000255,0.000473,0.000620,0.000545
B_acf_abs_r_der,0.000041,0.000013,0.000024,0.000027,0.000052,0.000052,0.000049
B_acf_abs_r_sec_der,0.000060,0.000029,0.000026,0.000025,0.000080,0.000095,0.000074
B_acf_abs_r_funct_pct,74.755039,12.016992,77.248617,52.699532,73.708227,87.880870,82.237947
B_acf_abs_r_der_pct,129.094010,31.124863,93.285391,94.816303,146.847192,173.995745,136.525419
B_acf_abs_r_sec_der_pct,310.737041,113.837884,219.929725,206.940597,349.802708,515.300160,261.712016
B_acf_sq_r_funct,0.000321,0.000100,0.000326,0.000140,0.000318,0.000439,0.000382
B_acf_sq_r_der,0.000047,0.000017,0.000027,0.000024,0.000063,0.000059,0.000060
B_acf_sq_r_sec_der,0.000066,0.000034,0.000030,0.000019,0.000091,0.000097,0.000090
