step,train_bce
50,0.69291
100,0.695241
150,0.69945
200,0.696853
250,0.692827
300,0.694081
350,0.691946
400,0.691725
450,0.694045
500,0.691045
550,0.694356
600,0.690972
650,0.693267
700,0.69286
750,0.693508
800,0.692855
850,0.692859
900,0.696766
950,0.692189
1000,0.69291
1050,0.693275
1100,0.69609
1150,0.692963
1200,0.690133
1250,0.692823
1300,0.690883
1350,0.692423
1400,0.691848
1450,0.690903
1500,0.696473
1550,0.690058
1600,0.687381
1650,0.691824
1700,0.684293
1750,0.689176
1800,0.689536
1850,0.677056
1900,0.68925
1950,0.68959
2000,0.678152
