step,train_bce
50,0.694616
100,0.69367
150,0.69419
200,0.693228
250,0.693586
300,0.693299
350,0.692188
400,0.693189
450,0.694012
500,0.693377
550,0.694052
600,0.693267
650,0.692426
700,0.692096
750,0.692579
800,0.699569
850,0.693431
900,0.692513
950,0.694001
1000,0.694949
1050,0.692238
1100,0.693575
1150,0.693654
1200,0.693651
1250,0.692216
1300,0.68776
1350,0.689002
1400,0.683536
1450,0.512992
1500,0.337248
1550,0.330968
1600,0.258403
1650,0.256552
1700,0.343621
1750,0.262873
1800,0.294472
1850,0.215843
1900,0.213562
1950,0.179042
2000,0.338277
