step,train_bce
50,0.690661
100,0.692672
150,0.693284
200,0.694058
250,0.690858
300,0.692968
350,0.692852
400,0.692565
450,0.693026
500,0.693509
550,0.693146
600,0.689842
650,0.692558
700,0.693534
750,0.694417
800,0.692823
850,0.692989
900,0.69238
950,0.692342
1000,0.692955
1050,0.693158
1100,0.693873
1150,0.693183
1200,0.69551
1250,0.693142
1300,0.696292
1350,0.692752
1400,0.692353
1450,0.693155
1500,0.691588
1550,0.69304
1600,0.693013
1650,0.693148
1700,0.692201
1750,0.692825
1800,0.693226
1850,0.693327
1900,0.693033
1950,0.693479
2000,0.693812
