step,train_bce
50,0.696627
100,0.693063
150,0.693772
200,0.692459
250,0.69412
300,0.69316
350,0.694563
400,0.690394
450,0.691305
500,0.69324
550,0.695656
600,0.693635
650,0.690696
700,0.693734
750,0.693083
800,0.693502
850,0.696027
900,0.695424
950,0.694483
1000,0.693204
1050,0.693971
1100,0.693084
1150,0.693008
1200,0.692802
1250,0.693579
1300,0.700199
1350,0.693187
1400,0.693725
1450,0.693027
1500,0.695405
1550,0.693102
1600,0.692645
1650,0.692169
1700,0.69395
1750,0.69415
1800,0.692819
1850,0.693411
1900,0.694581
1950,0.693102
2000,0.690633
