metric,mean,std,seed_0,seed_1,seed_2,seed_3,seed_4
A1_kurtosis_error,281.767435,288.156490,43.569113,399.076448,122.378096,47.749075,796.064444
A2_abs_r_q95_error,0.022786,0.000278,0.022839,0.022528,0.023013,0.023140,0.022413
A3_abs_r_q99_error,0.029777,0.001743,0.030772,0.029816,0.030083,0.031679,0.026537
A4_tail_qq_error,0.022400,0.000379,0.022462,0.022314,0.022682,0.022815,0.021725
A5_hill_tail_index_error,7.568008,1.266622,6.725792,9.081642,6.557398,9.141594,6.333613
A6_path_mmd2,0.032921,0.009071,0.028083,0.022170,0.030635,0.034528,0.049187
A7_terminal_mmd2,0.008520,0.002539,0.007595,0.005447,0.007351,0.013006,0.009198
A8_increment_mmd2,0.202491,0.014170,0.208162,0.178837,0.210743,0.219538,0.195175
A9_volatility_mmd,2.882136,0.612777,3.098158,2.232427,2.838335,3.924861,2.316898
A10_terminal_swd,2.390529,0.119581,2.230216,2.417081,2.309309,2.585735,2.410304
A11_path_swd,2.235888,0.256714,2.357029,2.077148,1.921926,2.157435,2.665900
A12_rv_law_loss,15.114242,13.838426,14.830044,4.774469,41.816707,5.045478,9.104510
A13_mean_path_rmse,0.742133,0.319284,0.236326,0.939747,0.535546,0.858738,1.140310
A14_ks_logreturns,0.388082,0.003914,0.382684,0.385339,0.390938,0.387740,0.393708
A15_skewness_error,390.500830,355.767904,704.889971,13.455744,349.908745,3.449176,880.800512
A16_qq_rmse,0.010865,0.000144,0.010768,0.010778,0.010998,0.011073,0.010707
A17_terminal_ks,0.066724,0.015918,0.058838,0.048096,0.065552,0.065186,0.095947
A18_disc_score_gru,0.487122,0.012924,0.465822,0.478639,0.494202,0.497559,0.499390
A18_disc_score_mlp,0.073451,0.126647,0.007476,0.031584,0.001678,0.000763,0.325755
A19_pred_score_gru,0.055465,0.001080,0.054420,0.054711,0.054856,0.057340,0.055999
A19_pred_score_mlp,0.053017,0.000201,0.053058,0.053352,0.052735,0.052924,0.053014
A20_cov_error,20.547180,7.354889,12.968364,15.872624,26.055490,15.610302,32.229122
A21_acf_abs,0.318065,0.137470,0.386438,0.208564,0.284852,0.547535,0.162936
