step,train_bce
50,0.689329
100,0.688145
150,0.692465
200,0.690695
250,0.690087
300,0.685587
350,0.690782
400,0.692601
450,0.693869
500,0.692225
550,0.692969
600,0.693013
650,0.693098
700,0.693122
750,0.694784
800,0.693745
850,0.691413
900,0.693277
950,0.693668
1000,0.692731
1050,0.693322
1100,0.694216
1150,0.692531
1200,0.693438
1250,0.693746
1300,0.697293
1350,0.693576
1400,0.692792
1450,0.691917
1500,0.694018
1550,0.692902
1600,0.691121
1650,0.691097
1700,0.693117
1750,0.687128
1800,0.692915
1850,0.692917
1900,0.692997
1950,0.693577
2000,0.693409
