step,train_bce
50,0.693224
100,0.694566
150,0.692116
200,0.69323
250,0.693682
300,0.693297
350,0.692989
400,0.693838
450,0.692421
500,0.693313
550,0.692668
600,0.693757
650,0.692745
700,0.693137
750,0.693012
800,0.692881
850,0.693041
900,0.689803
950,0.6947
1000,0.693058
1050,0.692616
1100,0.690648
1150,0.689749
1200,0.680082
1250,0.892775
1300,0.740788
1350,0.698924
1400,0.672186
1450,0.671489
1500,0.674241
1550,0.657977
1600,0.661273
1650,0.661455
1700,0.652464
1750,0.641971
1800,0.639531
1850,0.624068
1900,0.592521
1950,0.549124
2000,0.382559
