step,train_bce
50,0.69097
100,0.69351
150,0.692725
200,0.692718
250,0.696428
300,0.693903
350,0.693456
400,0.691517
450,0.69229
500,0.693935
550,0.696587
600,0.69323
650,0.695515
700,0.693065
750,0.691152
800,0.692224
850,0.692727
900,0.693167
950,0.693944
1000,0.693179
1050,0.693234
1100,0.693316
1150,0.692757
1200,0.695928
1250,0.691901
1300,0.693888
1350,0.692998
1400,0.691839
1450,0.691124
1500,0.692738
1550,0.69438
1600,0.693219
1650,0.693152
1700,0.693046
1750,0.693193
1800,0.69311
1850,0.69274
1900,0.69327
1950,0.693279
2000,0.693559
