step,train_bce
50,0.691473
100,0.693514
150,0.693162
200,0.693035
250,0.692744
300,0.694229
350,0.693262
400,0.693753
450,0.693218
500,0.69344
550,0.693334
600,0.691894
650,0.692739
700,0.690888
750,0.691995
800,0.695919
850,0.692634
900,0.692757
950,0.693793
1000,0.692798
1050,0.693265
1100,0.694071
1150,0.692967
1200,0.694925
1250,0.692977
1300,0.693651
1350,0.693356
1400,0.692968
1450,0.693021
1500,0.696211
1550,0.692995
1600,0.694171
1650,0.69156
1700,0.69245
1750,0.693008
1800,0.692876
1850,0.693788
1900,0.69526
1950,0.692269
2000,0.693284
