step,train_bce
50,0.690269
100,0.693269
150,0.694744
200,0.693562
250,0.693156
300,0.692497
350,0.694514
400,0.693152
450,0.693526
500,0.692798
550,0.692836
600,0.694011
650,0.693089
700,0.692606
750,0.692903
800,0.692259
850,0.6936
900,0.693042
950,0.689894
1000,0.691402
1050,0.692715
1100,0.69271
1150,0.693688
1200,0.693085
1250,0.692737
1300,0.692583
1350,0.693018
1400,0.693206
1450,0.693859
1500,0.693231
1550,0.693038
1600,0.693628
1650,0.692961
1700,0.693295
1750,0.692273
1800,0.69144
1850,0.691901
1900,0.694231
1950,0.693451
2000,0.68958
