step,train_bce
50,0.694446
100,0.693586
150,0.695665
200,0.692106
250,0.694688
300,0.692792
350,0.69269
400,0.69355
450,0.693743
500,0.691894
550,0.690265
600,0.697427
650,0.692294
700,0.694045
750,0.706155
800,0.69291
850,0.694113
900,0.69704
950,0.690602
1000,0.690531
1050,0.693675
1100,0.688449
1150,0.689527
1200,0.707385
1250,0.685569
1300,0.684821
1350,0.696257
1400,0.694489
1450,0.68976
1500,0.686548
1550,0.69369
1600,0.687627
1650,0.69047
1700,0.693999
1750,0.692177
1800,0.688927
1850,0.700801
1900,0.694245
1950,0.695255
2000,0.68742
