metric,mean,std,seed_0,seed_1,seed_2,seed_3,seed_4
A1_kurtosis_error,0.239264,0.028994,0.271468,0.233477,0.212757,0.274166,0.204453
A2_abs_r_q95_error,0.001389,0.000408,0.001579,0.001725,0.000592,0.001595,0.001453
A3_abs_r_q99_error,0.001578,0.000324,0.001322,0.002122,0.001476,0.001224,0.001745
A4_tail_qq_error,0.001383,0.000403,0.001550,0.001719,0.000594,0.001583,0.001469
A5_hill_tail_index_error,2.572903,0.952670,2.228573,3.740647,1.005073,2.544772,3.345451
A6_path_mmd2,0.006047,0.002678,0.004377,0.011200,0.005757,0.003635,0.005268
A7_terminal_mmd2,0.009359,0.006441,0.004679,0.020834,0.010825,0.002261,0.008198
A8_increment_mmd2,0.001526,0.000387,0.001810,0.001461,0.000982,0.002086,0.001290
A9_volatility_mmd,0.044070,0.012383,0.049746,0.050401,0.026012,0.060324,0.033866
A10_terminal_swd,3.807762,2.260143,1.645822,7.418016,5.156795,1.384183,3.433994
A11_path_swd,2.110310,0.841014,1.500152,3.592314,2.470114,1.294546,1.694425
A12_rv_law_loss,0.704655,0.191422,0.805583,0.778428,0.354496,0.913994,0.670773
A13_mean_path_rmse,1.980041,1.067163,0.841724,3.856821,2.414223,1.388491,1.398948
A14_ks_logreturns,0.024538,0.005947,0.025303,0.032507,0.014792,0.027981,0.022109
A15_skewness_error,0.040732,0.024043,0.070036,0.043063,0.016121,0.010802,0.063640
A16_qq_rmse,0.000904,0.000255,0.001004,0.001112,0.000419,0.001092,0.000892
A17_terminal_ks,0.105542,0.048438,0.047485,0.181152,0.132690,0.061890,0.104492
A18_disc_score_gru,0.004059,0.002359,0.003509,0.002594,0.002289,0.003204,0.008697
A18_disc_score_mlp,0.003204,0.002810,0.000153,0.008392,0.001678,0.002289,0.003509
A19_pred_score_gru,0.050048,0.000028,0.050035,0.050091,0.050011,0.050035,0.050070
A19_pred_score_mlp,0.050273,0.000246,0.050128,0.050013,0.050132,0.050394,0.050697
A20_cov_error,53.785155,39.222114,15.988573,83.000520,39.556558,15.454988,114.925136
A21_acf_abs,0.018721,0.002102,0.016481,0.020189,0.018015,0.022041,0.016880
A22_acf_sq,0.014393,0.001635,0.012364,0.015571,0.013803,0.016913,0.013317
A23_acf_lag1_abs_error,0.018995,0.002319,0.016138,0.018551,0.017723,0.023078,0.019485
