step,train_bce
50,0.693687
100,0.693181
150,0.692195
200,0.692694
250,0.691857
300,0.693116
350,0.693066
400,0.692937
450,0.694297
500,0.693944
550,0.694266
600,0.691152
650,0.694118
700,0.695519
750,0.693747
800,0.694126
850,0.693305
900,0.693076
950,0.693056
1000,0.693012
1050,0.693105
1100,0.693828
1150,0.693093
1200,0.694066
1250,0.692588
1300,0.693091
1350,0.695412
1400,0.693182
1450,0.692081
1500,0.692759
1550,0.692984
1600,0.692715
1650,0.694562
1700,0.692659
1750,0.693049
1800,0.693065
1850,0.692202
1900,0.693556
1950,0.693384
2000,0.693283
