step,train_bce
50,0.689955
100,0.693617
150,0.693828
200,0.693426
250,0.693472
300,0.692969
350,0.69523
400,0.691499
450,0.694024
500,0.692132
550,0.693368
600,0.694681
650,0.693532
700,0.693321
750,0.69456
800,0.694185
850,0.691699
900,0.692906
950,0.694554
1000,0.693537
1050,0.693433
1100,0.695006
1150,0.692843
1200,0.693123
1250,0.693412
1300,0.693388
1350,0.693673
1400,0.690722
1450,0.69267
1500,0.69363
1550,0.692454
1600,0.692945
1650,0.694018
1700,0.694603
1750,0.693467
1800,0.692971
1850,0.692819
1900,0.693089
1950,0.693163
2000,0.692666
