step,train_bce
50,0.693735
100,0.693519
150,0.69322
200,0.693579
250,0.693191
300,0.693278
350,0.691247
400,0.689573
450,0.692982
500,0.693312
550,0.693051
600,0.693399
650,0.693562
700,0.69549
750,0.693252
800,0.695626
850,0.693258
900,0.691309
950,0.693499
1000,0.692175
1050,0.695235
1100,0.693506
1150,0.692559
1200,0.692122
1250,0.692682
1300,0.69075
1350,0.693943
1400,0.691926
1450,0.693543
1500,0.692766
1550,0.693522
1600,0.692753
1650,0.692264
1700,0.69261
1750,0.688738
1800,0.618455
1850,0.271632
1900,0.211823
1950,0.187987
2000,0.158353
