step,train_bce
50,0.699513
100,0.693976
150,0.692715
200,0.695216
250,0.693221
300,0.694111
350,0.694211
400,0.693127
450,0.693466
500,0.691881
550,0.693929
600,0.694204
650,0.691827
700,0.693248
750,0.692675
800,0.69391
850,0.693987
900,0.694053
950,0.69238
1000,0.693407
1050,0.693455
1100,0.693526
1150,0.6926
1200,0.692151
1250,0.692398
1300,0.693154
1350,0.691673
1400,0.691025
1450,0.694195
1500,0.695146
1550,0.692777
1600,0.693112
1650,0.692654
1700,0.693091
1750,0.692172
1800,0.691496
1850,0.692821
1900,0.693356
1950,0.693488
2000,0.692873
