metric,mean,std,seed_0,seed_1,seed_2,seed_3,seed_4
A1_kurtosis_error,0.100685,0.052727,0.061219,0.134424,0.163894,0.019229,0.124656
A2_abs_r_q95_error,0.002101,0.001373,0.000510,0.003517,0.002779,0.000381,0.003316
A3_abs_r_q99_error,0.002831,0.001858,0.000708,0.004701,0.003784,0.000467,0.004494
A4_tail_qq_error,0.002063,0.001343,0.000489,0.003445,0.002740,0.000396,0.003244
A5_hill_tail_index_error,3.693790,2.142007,0.216019,4.633417,6.391370,2.457888,4.770258
A6_path_mmd2,0.004171,0.001840,0.002427,0.004233,0.007633,0.003673,0.002888
A7_terminal_mmd2,0.003929,0.001225,0.002193,0.004216,0.005725,0.004505,0.003004
A8_increment_mmd2,0.002258,0.000789,0.001445,0.003090,0.002708,0.001172,0.002875
A9_volatility_mmd,0.052130,0.027233,0.022485,0.079660,0.072259,0.015701,0.070545
A10_terminal_swd,2.348332,1.013291,0.715087,2.713785,3.784673,1.906660,2.621452
A11_path_swd,1.846645,0.644582,1.042700,2.258463,2.873201,1.586186,1.472674
A12_rv_law_loss,0.841322,0.466587,0.232300,1.324776,1.072327,0.327646,1.249558
A13_mean_path_rmse,1.963165,0.502985,1.696829,2.149027,2.831417,1.350954,1.787595
A14_ks_logreturns,0.025298,0.014221,0.009792,0.039361,0.033627,0.006366,0.037345
A15_skewness_error,0.015146,0.005901,0.019932,0.023186,0.011065,0.006795,0.014752
A16_qq_rmse,0.001058,0.000643,0.000326,0.001722,0.001386,0.000240,0.001618
A17_terminal_ks,0.067456,0.021120,0.058350,0.066895,0.102051,0.037109,0.072876
A18_disc_score_gru,0.010467,0.009703,0.003814,0.006561,0.029753,0.006866,0.005340
A18_disc_score_mlp,0.050442,0.036738,0.080714,0.009307,0.061184,0.095362,0.005645
A19_pred_score_gru,0.050088,0.000056,0.050115,0.050187,0.050042,0.050054,0.050042
A19_pred_score_mlp,0.050192,0.000358,0.050898,0.050101,0.049970,0.049937,0.050053
A20_cov_error,17.722317,11.975156,15.202845,7.975790,25.004263,3.627721,36.800965
A21_acf_abs,0.010231,0.004203,0.010247,0.014746,0.014619,0.003661,0.007880
A22_acf_sq,0.009593,0.003496,0.008540,0.012992,0.013217,0.003650,0.009566
A23_acf_lag1_abs_error,0.016160,0.005836,0.018176,0.022292,0.021661,0.007718,0.010955
A24_acf_lag1_sq_error,0.015449,0.004782,0.015661,0.020790,0.020196,0.008039,0.012559
A25_mean_rmse,1.998150,0.979369,1.570522,2.188684,3.387145,0.426233,2.418168
A26_std_error,0.090982,0.054280,0.043844,0.151026,0.105072,0.012903,0.142065
A27_logreturn_std_error,0.001072,0.000680,0.000291,0.001773,0.001416,0.000212,0.001665
A28_kurtosis_ratio,0.992470,0.079447,1.024871,0.916041,0.947903,1.133611,0.939925
A29_sigma_mean_error,0.016549,0.010190,0.004153,0.027233,0.021310,0.004440,0.025608
A30_vol_path_rmse,0.442266,0.269867,0.222417,0.192442,0.562735,0.318612,0.915122
