step,train_bce
50,0.693134
100,0.692836
150,0.695918
200,0.693722
250,0.693292
300,0.693505
350,0.692106
400,0.692791
450,0.696639
500,0.69344
550,0.693261
600,0.693688
650,0.692894
700,0.693554
750,0.693664
800,0.691614
850,0.691921
900,0.693207
950,0.69492
1000,0.692711
1050,0.693087
1100,0.693222
1150,0.693519
1200,0.692863
1250,0.694196
1300,0.691809
1350,0.694689
1400,0.691257
1450,0.694167
1500,0.69415
1550,0.694337
1600,0.693903
1650,0.694906
1700,0.692645
1750,0.691474
1800,0.693707
1850,0.692514
1900,0.692143
1950,0.692176
2000,0.693488
