step,train_bce
50,0.696571
100,0.689813
150,0.693077
200,0.692232
250,0.693589
300,0.6924
350,0.693614
400,0.692483
450,0.693608
500,0.693699
550,0.688859
600,0.692773
650,0.69628
700,0.692813
750,0.692549
800,0.691598
850,0.690972
900,0.691403
950,0.690803
1000,0.689545
1050,0.693043
1100,0.688601
1150,0.689879
1200,0.690401
1250,0.713591
1300,0.695995
1350,0.685216
1400,0.699161
1450,0.690656
1500,0.69484
1550,0.68851
1600,0.683645
1650,0.687234
1700,0.694374
1750,0.688951
1800,0.691157
1850,0.682443
1900,0.693911
1950,0.680583
2000,0.677461
