step,train_bce
50,0.693129
100,0.692956
150,0.694024
200,0.691773
250,0.692881
300,0.691857
350,0.692474
400,0.696015
450,0.692025
500,0.693208
550,0.691987
600,0.68558
650,0.692383
700,0.692348
750,0.694422
800,0.69577
850,0.691971
900,0.693047
950,0.689064
1000,0.693937
1050,0.692214
1100,0.689673
1150,0.693022
1200,0.691423
1250,0.694862
1300,0.69264
1350,0.692249
1400,0.687404
1450,0.690496
1500,0.691885
1550,0.692412
1600,0.691845
1650,0.693652
1700,0.691021
1750,0.693281
1800,0.690218
1850,0.691081
1900,0.698691
1950,0.679968
2000,0.690308
