step,train_bce
50,0.693156
100,0.692114
150,0.691422
200,0.692285
250,0.692944
300,0.69249
350,0.691188
400,0.693084
450,0.693044
500,0.692833
550,0.693225
600,0.693289
650,0.691849
700,0.694483
750,0.693035
800,0.69426
850,0.693358
900,0.692245
950,0.690939
1000,0.693308
1050,0.693371
1100,0.694803
1150,0.691944
1200,0.693865
1250,0.692141
1300,0.695136
1350,0.696225
1400,0.687085
1450,0.692409
1500,0.689601
1550,0.687237
1600,0.678365
1650,0.675567
1700,0.650598
1750,0.797224
1800,0.511588
1850,0.723392
1900,0.432099
1950,0.526951
2000,0.696619
