metric,mean,std,seed_0,seed_1,seed_2,seed_3,seed_4
A1_kurtosis_error,20.103491,3.136198,21.149548,22.266325,19.310425,14.431301,23.359855
A2_abs_r_q95_error,0.023875,0.006491,0.013607,0.023451,0.022002,0.033520,0.026795
A3_abs_r_q99_error,0.040251,0.010651,0.024078,0.036737,0.037129,0.055077,0.048234
A4_tail_qq_error,0.023816,0.006446,0.013663,0.023274,0.021935,0.033403,0.026804
A5_hill_tail_index_error,6.730187,6.377951,12.209335,15.863996,5.396071,0.098556,0.082979
A6_path_mmd2,0.069466,0.059663,0.140170,0.144348,0.029875,0.014539,0.018399
A7_terminal_mmd2,0.064578,0.066806,0.116737,0.170428,0.014725,0.015788,0.005213
A8_increment_mmd2,0.074413,0.016386,0.057910,0.093059,0.062867,0.095621,0.062609
A9_volatility_mmd,2.033333,0.330261,1.790802,2.547458,1.823885,2.299258,1.705261
A10_terminal_swd,11.126553,9.127979,22.738112,21.613499,3.264832,6.087350,1.928974
A11_path_swd,8.733506,6.925074,19.035921,15.083427,3.949911,2.852535,2.745736
A12_rv_law_loss,16.518574,5.359940,8.538637,16.675790,13.963686,24.835142,18.579617
A13_mean_path_rmse,8.840472,7.340547,19.364114,16.065409,3.907564,2.525087,2.340185
A14_ks_logreturns,0.137006,0.026554,0.100519,0.157322,0.117032,0.174176,0.135980
A15_skewness_error,0.028429,0.022446,0.010222,0.034831,0.003483,0.067408,0.026201
A16_qq_rmse,0.011089,0.002985,0.006446,0.011262,0.009964,0.015627,0.012147
A17_terminal_ks,0.305005,0.223275,0.540283,0.611084,0.145264,0.144897,0.083496
A18_disc_score_gru,0.394965,0.089094,0.287611,0.494507,0.391974,0.495728,0.305005
A18_disc_score_mlp,0.460879,0.017654,0.449344,0.433781,0.478334,0.480470,0.462466
A19_pred_score_gru,0.083353,0.005229,0.079402,0.093535,0.081484,0.082661,0.079685
A19_pred_score_mlp,0.074229,0.004722,0.068155,0.079337,0.071218,0.080187,0.072250
A20_cov_error,64.756760,21.184064,98.596191,64.043861,68.122751,32.001440,61.019557
A21_acf_abs,0.075256,0.003463,0.071783,0.071818,0.081216,0.075518,0.075945
A22_acf_sq,0.077670,0.002639,0.075300,0.077339,0.074390,0.080204,0.081120
A23_acf_lag1_abs_error,0.225847,0.014393,0.210763,0.220923,0.251884,0.216203,0.229461
A24_acf_lag1_sq_error,0.246611,0.008535,0.233945,0.244536,0.258345,0.242764,0.253466
A25_mean_rmse,10.877964,9.469299,22.819934,21.894055,3.566839,5.116936,0.992055
A26_std_error,1.419034,0.261532,1.126167,1.681634,1.204581,1.777330,1.305458
A27_logreturn_std_error,0.013204,0.003285,0.008040,0.013487,0.011829,0.018027,0.014634
A28_kurtosis_ratio,0.018404,0.007380,0.010343,0.010377,0.020159,0.029878,0.021264
A29_sigma_mean_error,0.193098,0.048580,0.115945,0.200723,0.174836,0.265300,0.208684
A30_vol_path_rmse,1.949513,0.599061,2.975400,1.957976,1.989861,1.126910,1.697419
A31_rolling_vol_ks,0.501405,0.086620,0.369865,0.552137,0.450307,0.623609,0.511109
A32_vol_of_vol_error,0.008546,0.001733,0.005747,0.008466,0.007878,0.010791,0.009847
A33_sigma_corr,0.009360,0.006530,0.005223,0.016371,0.015749,0.010349,-0.000894
A34_sigma_rmse,0.273661,0.046687,0.200357,0.274068,0.254453,0.341093,0.298333
grid_tvd,35.578117,22.964044,65.120125,61.670971,22.086525,11.945343,17.067623
B_log_ret_hist_funct,43.737471,13.898330,24.871899,52.686867,33.351655,64.277541,43.499392
B_log_ret_hist_der,0.440920,0.077059,0.345988,0.468961,0.378983,0.567613,0.443057
B_log_ret_hist_sec_der,0.330081,0.052475,0.361562,0.232909,0.369373,0.370133,0.316428
B_log_ret_hist_funct_pct,112.424145,24.792703,74.505619,126.564763,99.731334,148.115946,113.203064
B_log_ret_hist_der_pct,79.066777,9.171169,68.261864,88.831578,68.284870,88.318794,81.636777
B_log_ret_hist_sec_der_pct,256631.778778,165291.974108,446055.481631,98024.497583,454009.040769,69817.633329,215252.240575
B_log_ret_hist_funct_nrmse,17.861234,2.921257,13.648074,19.864062,15.804311,21.940500,18.049222
B_log_ret_hist_der_nrmse,35.937684,3.119136,31.954387,37.202132,33.443315,40.928497,36.160090
B_log_ret_hist_sec_der_nrmse,47.340873,3.972702,49.721140,39.906458,50.255367,50.307048,46.514351
B_log_ret_hist_funct_cvar90,37.468891,5.268965,30.032382,41.206713,33.481359,44.783139,37.840860
B_log_ret_hist_funct_cvar95,39.843631,5.430444,32.080810,43.660224,35.818548,47.339888,40.318687
B_qq_plot_funct,0.000145,0.000073,0.000046,0.000137,0.000110,0.000267,0.000166
B_qq_plot_der,0.000004,0.000002,0.000002,0.000003,0.000003,0.000007,0.000006
B_qq_plot_sec_der,0.000001,0.000001,0.000001,0.000001,0.000001,0.000002,0.000002
B_qq_plot_funct_pct,93.586806,22.958202,63.421417,110.840570,76.194012,126.988180,90.489851
B_qq_plot_der_pct,90.153425,24.425010,52.497299,92.464272,80.392761,127.656949,97.755846
B_qq_plot_sec_der_pct,164.741241,22.812518,139.103522,148.100079,157.367244,203.365399,175.769959
B_qq_plot_funct_nrmse,31.654049,8.480673,18.461176,31.804175,28.498675,44.464199,35.042019
B_qq_plot_der_nrmse,26.889318,7.214294,17.141648,22.065457,24.874215,35.585518,34.779753
B_qq_plot_sec_der_nrmse,28.288704,7.437628,19.120010,22.507637,25.764547,36.844532,37.206794
B_qq_plot_funct_cvar90,36.628209,9.839428,21.191963,35.319086,33.707235,51.052984,41.869779
B_qq_plot_funct_cvar95,44.513100,11.838644,26.121138,41.931423,41.004451,61.435929,52.072559
B_acf_abs_r_funct,0.003095,0.000387,0.002745,0.002813,0.003823,0.002965,0.003129
B_acf_abs_r_der,0.003227,0.000287,0.003106,0.003330,0.002750,0.003345,0.003606
B_acf_abs_r_sec_der,0.003404,0.000318,0.003296,0.003487,0.002871,0.003528,0.003839
B_acf_abs_r_funct_pct,107.011469,17.316329,104.763740,80.898646,134.997631,111.009774,103.387556
B_acf_abs_r_der_pct,631.295902,23.566907,642.891193,604.822211,667.989070,607.021434,633.755602
B_acf_abs_r_sec_der_pct,1924.192397,61.766454,1898.331268,1973.108237,1827.614873,1916.322555,2005.585053
B_acf_abs_r_funct_nrmse,146.605988,8.923939,138.323185,140.022270,163.247686,143.754790,147.682007
B_acf_abs_r_der_nrmse,1248.987587,56.214101,1226.521426,1269.924587,1154.057509,1272.792558,1321.641856
B_acf_abs_r_sec_der_nrmse,1068.528097,50.661096,1052.584633,1082.689560,982.431870,1088.971039,1135.963385
B_acf_abs_r_funct_cvar90,341.382780,17.575596,321.087867,333.530080,372.902624,333.706132,345.687197
B_acf_abs_r_funct_cvar95,601.007349,38.300562,560.867941,587.905277,670.294544,575.343901,610.625084
B_acf_sq_r_funct,0.003456,0.000184,0.003161,0.003354,0.003617,0.003483,0.003668
B_acf_sq_r_der,0.003832,0.000371,0.003662,0.003972,0.003208,0.004026,0.004292
B_acf_sq_r_sec_der,0.004025,0.000417,0.003872,0.004128,0.003322,0.004231,0.004573
B_acf_sq_r_funct_pct,117.686589,10.563241,118.883244,97.335246,122.811337,127.669594,121.733527
B_acf_sq_r_der_pct,1057.700407,230.875743,1420.138432,756.956699,973.075823,932.626673,1205.704410
B_acf_sq_r_sec_der_pct,1157.339315,80.754230,1144.263937,1035.079600,1116.754912,1258.843367,1231.754758
B_acf_sq_r_funct_nrmse,170.769559,4.574290,163.362483,168.271628,174.753954,171.481088,175.978640
B_acf_sq_r_der_nrmse,1095.764511,53.918919,1072.499099,1116.920888,1003.821687,1124.473532,1161.107351
B_acf_sq_r_sec_der_nrmse,878.471439,46.340224,862.762743,890.896726,799.163987,901.939443,937.594294
B_acf_sq_r_funct_cvar90,402.217392,10.462175,383.332598,402.105346,408.225262,402.787928,414.635828
B_acf_sq_r_funct_cvar95,722.272569,24.996951,685.174821,716.194603,756.639311,711.005722,742.348387
B_roll_vol_hist_funct,1372.918114,425.160913,830.705708,1705.699946,1012.160111,1979.234387,1336.790419
B_roll_vol_hist_der,4.969618,1.058905,3.797439,5.797016,3.811353,6.454850,4.987430
B_roll_vol_hist_sec_der,2.675901,0.417343,2.339008,2.520609,2.460381,3.496869,2.562641
B_roll_vol_hist_funct_pct,307.373150,73.277256,197.377236,354.835901,268.709183,412.196413,303.747017
B_roll_vol_hist_der_pct,376.154264,107.905557,258.599648,536.722994,309.476741,471.324948,304.646991
B_roll_vol_hist_sec_der_pct,474.462739,56.106238,388.817153,490.479318,434.454321,545.667367,512.895537
B_roll_vol_hist_funct_nrmse,41.415787,6.554271,32.616594,46.737592,36.003077,50.345844,41.375826
B_roll_vol_hist_der_nrmse,41.540543,4.462172,36.521391,45.123641,36.588234,47.615129,41.854319
B_roll_vol_hist_sec_der_nrmse,31.827569,2.375707,29.839445,30.976167,30.603850,36.485019,31.233366
B_roll_vol_hist_funct_cvar90,66.253846,8.426293,56.078745,73.635576,57.541158,77.245379,66.768372
B_roll_vol_hist_funct_cvar95,67.464235,8.373388,57.619821,74.984063,58.557259,78.309719,67.850311
B_tail_surv_funct,0.036489,0.013721,0.017037,0.041668,0.028240,0.058104,0.037395
B_tail_surv_der,0.000048,0.000018,0.000022,0.000058,0.000038,0.000074,0.000047
B_tail_surv_sec_der,0.000004,0.000002,0.000001,0.000005,0.000003,0.000008,0.000004
B_tail_surv_funct_pct,104.155144,26.648533,62.797202,111.311885,92.749817,144.550509,109.366305
B_tail_surv_der_pct,43.470004,7.545862,32.002880,48.203542,38.996357,53.971798,44.175442
B_tail_surv_sec_der_pct,50015.967245,10162.611202,34633.471504,53551.581387,46495.875830,65970.143453,49428.764050
B_tail_surv_funct_nrmse,18.931820,3.725846,13.184479,20.618907,16.974379,24.348316,19.533017
B_tail_surv_der_nrmse,703591.275859,138832.846128,484316.750503,792540.275744,637658.240320,893300.240819,710140.871908
B_tail_surv_sec_der_nrmse,210611.316451,60947.836186,110518.620146,233363.694082,193970.173837,298490.859606,216713.234586
B_tail_surv_funct_cvar90,26.130080,5.298261,17.994602,28.498126,23.346220,33.887969,26.923484
B_tail_surv_funct_cvar95,26.197103,5.313496,18.043379,28.576574,23.401212,33.980776,26.983572
