step,train_bce
50,0.694021
100,0.693566
150,0.689836
200,0.693517
250,0.694164
300,0.692499
350,0.691691
400,0.693225
450,0.69199
500,0.689635
550,0.687528
600,0.688136
650,0.686167
700,0.582172
750,0.311246
800,0.360592
850,0.353281
900,0.155725
950,0.226977
1000,0.161378
1050,0.163489
1100,0.206488
1150,0.117887
1200,0.182965
1250,0.090789
1300,0.17301
1350,0.114779
1400,0.123195
1450,0.08518
1500,0.046557
1550,0.168314
1600,0.051556
1650,0.050103
1700,0.057696
1750,0.03075
1800,0.049939
1850,0.028138
1900,0.08726
1950,0.021795
2000,0.069971
