step,train_bce
50,0.653849
100,0.522599
150,0.395169
200,0.239881
250,0.203084
300,0.161039
350,0.146114
400,0.11424
450,0.204038
500,0.072851
550,0.089859
600,0.087526
650,0.149492
700,0.069529
750,0.049157
800,0.068426
850,0.091725
900,0.057329
950,0.064062
1000,0.07142
1050,0.051497
1100,0.033245
1150,0.024348
1200,0.060571
1250,0.042696
1300,0.018257
1350,0.068949
1400,0.056367
1450,0.075104
1500,0.012442
1550,0.017446
1600,0.036084
1650,0.017287
1700,0.213326
1750,0.046136
1800,0.019147
1850,0.056531
1900,0.086208
1950,0.052242
2000,0.022512
