metric,mean,std,seed_0,seed_1,seed_2,seed_3,seed_4
A1_kurtosis_error,2.257352,0.571895,1.367377,2.661776,1.790705,2.667849,2.799052
A2_abs_r_q95_error,0.022266,0.000122,0.022044,0.022344,0.022225,0.022377,0.022339
A3_abs_r_q99_error,0.030817,0.000105,0.030624,0.030867,0.030838,0.030939,0.030817
A4_tail_qq_error,0.021909,0.000117,0.021696,0.021983,0.021871,0.022019,0.021978
A5_hill_tail_index_error,1.830546,0.679432,1.490889,0.697147,1.975190,2.544358,2.445144
A6_path_mmd2,0.019138,0.001334,0.021429,0.019278,0.019307,0.017508,0.018165
A7_terminal_mmd2,0.004951,0.001715,0.007400,0.005300,0.005501,0.002120,0.004436
A8_increment_mmd2,0.212952,0.001204,0.214506,0.213368,0.212443,0.210930,0.213514
A9_volatility_mmd,3.574872,0.447593,2.936368,3.844077,3.134603,3.979135,3.980176
A10_terminal_swd,1.946836,0.359782,2.386498,1.934198,1.815767,1.355699,2.242019
A11_path_swd,1.167304,0.113481,1.357828,1.036306,1.135317,1.084512,1.222554
A12_rv_law_loss,5.009514,0.008395,4.994657,5.014838,5.005797,5.017061,5.015217
A13_mean_path_rmse,0.319600,0.222465,0.406610,0.225384,0.711721,0.087354,0.166930
A14_ks_logreturns,0.367033,0.004602,0.360972,0.370635,0.361945,0.371755,0.369859
A15_skewness_error,0.547945,0.098367,0.463115,0.680583,0.409897,0.608280,0.577850
A16_qq_rmse,0.010573,0.000084,0.010426,0.010629,0.010532,0.010645,0.010633
A17_terminal_ks,0.051270,0.007848,0.066284,0.048950,0.049072,0.048950,0.043091
A18_disc_score_gru,0.427190,0.088149,0.325755,0.312939,0.500000,0.499390,0.497864
A18_disc_score_mlp,0.135765,0.150292,0.320568,0.019988,0.318737,0.018462,0.001068
A19_pred_score_gru,0.053853,0.000771,0.052886,0.054202,0.052983,0.054438,0.054758
A19_pred_score_mlp,0.052427,0.000191,0.052667,0.052250,0.052157,0.052533,0.052526
A20_cov_error,57.279948,1.758331,58.112214,57.971733,59.767459,55.110777,55.437558
A21_acf_abs,0.389026,0.105668,0.223625,0.451342,0.304936,0.482399,0.482826
A22_acf_sq,0.360913,0.088495,0.228301,0.415942,0.281799,0.441115,0.437405
A23_acf_lag1_abs_error,0.467374,0.134583,0.282076,0.525228,0.331972,0.597420,0.600173
A24_acf_lag1_sq_error,0.462997,0.118934,0.305708,0.520778,0.334250,0.580463,0.573786
A25_mean_rmse,0.388286,0.234036,0.617244,0.268033,0.658803,0.022754,0.374593
A26_std_error,1.073820,0.007809,1.060563,1.079015,1.069248,1.080996,1.079277
A27_logreturn_std_error,0.010977,0.000078,0.010838,0.011026,0.010945,0.011045,0.011030
A28_kurtosis_ratio,0.283421,0.047646,0.355475,0.239153,0.325139,0.253338,0.244001
A29_sigma_mean_error,0.174450,0.001776,0.171513,0.175560,0.173279,0.176100,0.175800
A30_vol_path_rmse,1.324568,0.045639,1.330605,1.349094,1.391605,1.291889,1.259647
A31_rolling_vol_ks,0.986879,0.004527,0.978252,0.987016,0.988239,0.991063,0.989824
A32_vol_of_vol_error,0.004576,0.000056,0.004471,0.004579,0.004581,0.004629,0.004621
A33_sigma_corr,0.022539,0.003796,0.015899,0.022342,0.022829,0.024025,0.027601
A34_sigma_rmse,0.180278,0.001643,0.177584,0.181290,0.179154,0.181768,0.181593
B_log_ret_hist_funct,2049.416829,220.256686,1696.237735,2189.502874,1885.143738,2241.033879,2235.165919
B_log_ret_hist_der,482.822256,144.719386,269.467159,554.450439,352.489236,624.873420,612.831024
B_log_ret_hist_sec_der,371.883123,187.578838,113.944421,422.473511,194.242720,588.595985,540.158980
B_log_ret_hist_funct_pct,114.851101,0.645842,113.680257,115.264635,114.626924,115.418531,115.265156
B_log_ret_hist_der_pct,2019.018975,462.553475,1285.498761,2159.328343,1707.711938,2526.285136,2416.270698
B_log_ret_hist_sec_der_pct,3277362.024922,603536.243569,3992889.917748,2686661.963784,4032227.842384,2794968.765036,2880061.635660
B_log_ret_hist_funct_nrmse,123.702950,6.783360,112.709428,128.052967,118.819883,129.551097,129.381377
B_log_ret_hist_der_nrmse,1178.741628,188.349173,891.769424,1279.178118,1019.935211,1357.987216,1344.838171
B_log_ret_hist_sec_der_nrmse,1532.532484,440.575338,882.665581,1699.610483,1152.449846,2006.126464,1921.810047
B_qq_plot_funct,0.000118,0.000002,0.000115,0.000119,0.000117,0.000120,0.000120
B_qq_plot_der,0.000001,0.000000,0.000001,0.000001,0.000001,0.000001,0.000001
B_qq_plot_sec_der,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
B_qq_plot_funct_pct,90.529004,1.555342,87.698701,91.544043,90.009196,91.526176,91.866902
B_qq_plot_der_pct,86.983321,0.753905,85.673999,87.479941,86.592256,87.626731,87.543677
B_qq_plot_sec_der_pct,74.108745,1.142520,74.351056,74.924003,75.296873,72.018899,73.952895
B_qq_plot_funct_nrmse,29.565356,0.225990,29.167887,29.714085,29.458553,29.761062,29.725194
B_qq_plot_der_nrmse,15.075425,0.043676,15.087326,15.043900,15.123930,15.114056,15.007915
B_qq_plot_sec_der_nrmse,11.517335,0.068787,11.573008,11.423363,11.584167,11.561610,11.444527
B_acf_abs_r_funct,0.097222,0.045545,0.032594,0.118916,0.053220,0.138584,0.142797
B_acf_abs_r_der,0.001420,0.000565,0.002237,0.001086,0.001960,0.000951,0.000868
B_acf_abs_r_sec_der,0.003051,0.002328,0.005990,0.002176,0.005654,0.000813,0.000622
B_acf_abs_r_funct_pct,983.567467,273.101530,577.268266,1150.653492,736.009716,1217.797618,1236.108243
B_acf_abs_r_der_pct,2394.613009,460.648475,2903.207777,2681.229887,2708.221710,1780.723795,1899.681873
B_acf_abs_r_sec_der_pct,2949.122898,1488.561566,5326.294447,2476.863192,3945.325688,1451.391305,1545.739858
B_acf_abs_r_funct_nrmse,795.340486,212.420208,476.649889,910.442193,609.072901,982.853310,997.684137
B_acf_abs_r_der_nrmse,813.525582,161.725200,1040.940760,725.317663,974.263619,678.662441,648.443427
B_acf_abs_r_sec_der_nrmse,926.534819,408.731035,1418.996976,855.262977,1378.545456,522.744980,457.123707
B_acf_sq_r_funct,0.076670,0.033169,0.030216,0.092116,0.043944,0.107391,0.109682
B_acf_sq_r_der,0.001394,0.000370,0.001822,0.001214,0.001853,0.001100,0.000981
B_acf_sq_r_sec_der,0.002765,0.001852,0.004681,0.002293,0.005177,0.000868,0.000806
B_acf_sq_r_funct_pct,1026.423264,265.113812,637.153822,1194.757851,778.406206,1254.227414,1267.571026
B_acf_sq_r_der_pct,5937.429476,1592.004356,4387.296062,4744.661799,8586.689236,5029.310514,6939.189770
B_acf_sq_r_sec_der_pct,7749.802373,4691.030982,4975.849095,4615.690717,16510.962772,8740.213197,3906.296086
B_acf_sq_r_funct_nrmse,782.135502,188.698765,505.096598,881.906492,609.124770,952.223206,962.326444
B_acf_sq_r_der_nrmse,655.986971,87.018041,756.593367,617.551378,762.895708,587.853481,555.040920
B_acf_sq_r_sec_der_nrmse,682.510138,256.510705,948.682007,663.964628,997.666340,408.594606,393.643109
B_roll_vol_hist_funct,38429.240498,4422.112428,44065.251863,30701.781528,40783.068858,38898.972586,37697.127656
B_roll_vol_hist_der,7690.435638,1991.291415,10496.926537,4694.052059,8675.359851,8210.903669,6374.936072
B_roll_vol_hist_sec_der,1936.758564,728.471858,2916.776775,899.848029,2176.776613,2366.425454,1323.965948
B_roll_vol_hist_funct_pct,339.972283,11.743764,352.759030,317.952805,345.944813,341.258834,341.945932
B_roll_vol_hist_der_pct,553.435277,41.886327,603.046027,487.208729,588.537053,560.349942,528.034633
B_roll_vol_hist_sec_der_pct,8027.836554,1353.998785,9300.608366,5740.506661,8304.743944,9388.124317,7405.199484
B_roll_vol_hist_funct_nrmse,221.458672,13.054308,237.554434,198.288169,228.536181,223.194803,219.719774
B_roll_vol_hist_der_nrmse,1628.876397,218.972683,1920.140296,1284.031961,1745.603612,1698.233335,1496.372781
B_roll_vol_hist_sec_der_nrmse,841.667724,169.892039,1053.723112,585.274354,910.294337,949.120434,709.926384
B_tail_surv_funct,0.216302,0.005676,0.206639,0.220030,0.213008,0.221355,0.220478
B_tail_surv_der,0.000403,0.000032,0.000349,0.000425,0.000382,0.000431,0.000425
B_tail_surv_sec_der,0.000003,0.000001,0.000002,0.000004,0.000003,0.000004,0.000004
B_tail_surv_funct_pct,90.064618,0.638538,88.979572,90.471242,89.692222,90.641013,90.539042
B_tail_surv_der_pct,139.232404,1.327022,136.753265,140.224677,138.972406,140.306874,139.904798
B_tail_surv_sec_der_pct,69169.460320,6752.066924,59247.364195,75408.847204,62873.278808,74914.903893,73402.907503
B_tail_surv_funct_nrmse,46.973988,0.619562,45.916688,47.381212,46.618978,47.523647,47.429417
B_tail_surv_der_nrmse,2085650.034268,83446.598543,1944845.488736,2143772.044367,2034709.479191,2159172.787731,2145750.371317
B_tail_surv_sec_der_nrmse,184175.506207,24774.572803,143181.643205,202441.702173,167979.934892,207816.885954,199457.364809
