step,train_bce
50,0.68912
100,0.692639
150,0.698121
200,0.690468
250,0.69282
300,0.691514
350,0.690184
400,0.6855
450,0.69857
500,0.689962
550,0.686496
600,0.691688
650,0.690866
700,0.700778
750,0.690002
800,0.686496
850,0.687444
900,0.683928
950,0.677629
1000,0.679815
1050,0.650674
1100,0.664613
1150,0.661519
1200,0.630099
1250,0.704601
1300,0.622417
1350,0.612024
1400,0.574707
1450,0.527086
1500,0.51894
1550,0.485826
1600,0.544488
1650,0.537731
1700,0.537542
1750,0.502129
1800,0.429822
1850,0.491948
1900,0.500844
1950,0.46149
2000,0.446241
