step,train_bce
50,0.692861
100,0.691057
150,0.692709
200,0.692154
250,0.692975
300,0.69279
350,0.693839
400,0.693331
450,0.692799
500,0.696562
550,0.693266
600,0.692704
650,0.693013
700,0.692949
750,0.692671
800,0.694372
850,0.692497
900,0.690909
950,0.692849
1000,0.693315
1050,0.692527
1100,0.691734
1150,0.692877
1200,0.690583
1250,0.691323
1300,0.690815
1350,0.684845
1400,0.532112
1450,0.665593
1500,0.669524
1550,0.78261
1600,0.677626
1650,0.691775
1700,0.687407
1750,0.686113
1800,0.683172
1850,0.683352
1900,0.677903
1950,0.624661
2000,0.738755
