metric,mean,std,seed_0,seed_1,seed_2,seed_3,seed_4
A1_kurtosis_error,0.136316,0.092426,0.078044,0.104966,0.013500,0.224016,0.261054
A2_abs_r_q95_error,0.004515,0.000254,0.004119,0.004424,0.004643,0.004499,0.004891
A3_abs_r_q99_error,0.006058,0.000303,0.005649,0.005854,0.006323,0.005987,0.006475
A4_tail_qq_error,0.004444,0.000248,0.004061,0.004372,0.004542,0.004421,0.004824
A5_hill_tail_index_error,3.776640,1.193392,1.854669,5.546432,3.769335,3.480874,4.231892
A6_path_mmd2,0.003433,0.000797,0.003413,0.003091,0.003349,0.002440,0.004872
A7_terminal_mmd2,0.003838,0.001368,0.003903,0.002518,0.005524,0.002094,0.005151
A8_increment_mmd2,0.007018,0.001054,0.005662,0.007131,0.006964,0.006472,0.008863
A9_volatility_mmd,0.193219,0.027989,0.159059,0.192845,0.202015,0.171874,0.240302
A10_terminal_swd,1.355644,0.268973,1.463799,0.947277,1.746955,1.196081,1.424108
A11_path_swd,0.878091,0.208098,0.989136,0.726739,1.228272,0.650184,0.796126
A12_rv_law_loss,1.705955,0.089422,1.580899,1.680589,1.703262,1.705149,1.859874
A13_mean_path_rmse,0.759266,0.134036,0.877129,0.787411,0.881743,0.734798,0.515248
A14_ks_logreturns,0.050835,0.003747,0.047300,0.049920,0.047863,0.051346,0.057747
A15_skewness_error,0.030791,0.008248,0.038359,0.041157,0.024840,0.018960,0.030637
A16_qq_rmse,0.002268,0.000138,0.002082,0.002234,0.002235,0.002276,0.002510
A17_terminal_ks,0.055225,0.009093,0.064697,0.061523,0.043579,0.061523,0.044800
A18_disc_score_gru,0.071742,0.065032,0.051724,0.174092,0.009918,0.117333,0.005645
A18_disc_score_mlp,0.009002,0.003393,0.008087,0.010223,0.007171,0.004730,0.014800
A19_pred_score_gru,0.050139,0.000029,0.050108,0.050138,0.050108,0.050182,0.050158
A19_pred_score_mlp,0.050184,0.000068,0.050272,0.050205,0.050079,0.050139,0.050227
A20_cov_error,22.606408,14.720120,12.020197,18.362342,11.740079,19.562971,51.346451
A21_acf_abs,0.019791,0.004246,0.017783,0.016986,0.015574,0.021172,0.027443
A22_acf_sq,0.018166,0.003251,0.016959,0.015874,0.015307,0.018364,0.024326
A23_acf_lag1_abs_error,0.015226,0.008014,0.006685,0.007382,0.017219,0.016133,0.028711
A24_acf_lag1_sq_error,0.013233,0.007254,0.005223,0.006626,0.017671,0.011850,0.024794
A25_mean_rmse,1.033463,0.190499,1.312840,1.057715,0.823042,1.151464,0.822253
A26_std_error,0.231573,0.014198,0.210596,0.226866,0.241042,0.226943,0.252421
A27_logreturn_std_error,0.002336,0.000137,0.002147,0.002297,0.002330,0.002335,0.002573
A28_kurtosis_ratio,0.841003,0.069527,0.853578,0.821757,0.966519,0.801892,0.761267
A29_sigma_mean_error,0.037429,0.002059,0.034766,0.037076,0.036886,0.037293,0.041127
A30_vol_path_rmse,0.570150,0.340381,0.315501,0.438431,0.338549,0.523805,1.234463
A31_rolling_vol_ks,0.184963,0.010134,0.168978,0.184654,0.181696,0.189454,0.200032
A32_vol_of_vol_error,0.000676,0.000058,0.000610,0.000646,0.000779,0.000693,0.000652
A33_sigma_corr,0.000704,0.005837,-0.004412,-0.004393,-0.002965,0.009693,0.005596
A34_sigma_rmse,0.101374,0.000908,0.101148,0.101547,0.100081,0.101192,0.102902
B_log_ret_hist_funct,12.648960,2.420099,10.413148,12.104464,10.509922,13.196359,17.020908
B_log_ret_hist_der,0.294145,0.064682,0.245344,0.267097,0.218847,0.350835,0.388604
B_log_ret_hist_sec_der,0.216069,0.068078,0.200181,0.184595,0.145326,0.345659,0.204583
B_log_ret_hist_funct_pct,30.954752,1.747157,28.625979,30.543551,30.430623,31.160509,34.013097
B_log_ret_hist_der_pct,58.461065,5.159082,53.973067,54.055274,55.297063,66.816058,62.163863
B_log_ret_hist_sec_der_pct,741083.904148,393570.401096,841061.827299,491032.977327,195472.758249,1373783.409467,804068.548400
B_log_ret_hist_funct_nrmse,9.691141,0.901120,8.830960,9.521156,8.871900,9.941318,11.290372
B_log_ret_hist_der_nrmse,29.288133,3.207493,26.908375,28.075945,25.413796,32.177393,33.865153
B_log_ret_hist_sec_der_nrmse,38.012525,5.694279,36.996574,35.527044,31.522541,48.615381,37.401085
B_qq_plot_funct,0.000005,0.000001,0.000005,0.000005,0.000005,0.000005,0.000007
B_qq_plot_der,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
B_qq_plot_sec_der,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
B_qq_plot_funct_pct,23.835571,2.434149,23.560880,24.271371,19.436329,25.238460,26.670814
B_qq_plot_der_pct,18.823504,1.172769,17.291422,18.537279,18.468968,18.919620,20.900232
B_qq_plot_sec_der_pct,67.741676,3.657146,70.443702,70.110102,67.013138,70.261471,60.879967
B_qq_plot_funct_nrmse,6.307684,0.378477,5.796789,6.204479,6.239815,6.326636,6.970701
B_qq_plot_der_nrmse,2.786689,0.162974,2.652198,2.589422,3.035538,2.755898,2.900388
B_qq_plot_sec_der_nrmse,2.197650,0.209905,2.158519,1.837730,2.421062,2.176177,2.394761
B_acf_abs_r_funct,0.000310,0.000117,0.000317,0.000269,0.000125,0.000357,0.000482
B_acf_abs_r_der,0.000018,0.000009,0.000033,0.000024,0.000010,0.000012,0.000009
B_acf_abs_r_sec_der,0.000037,0.000019,0.000072,0.000040,0.000032,0.000021,0.000021
B_acf_abs_r_funct_pct,63.029151,14.206704,66.813224,61.312020,37.148227,70.548128,79.324157
B_acf_abs_r_der_pct,215.896228,15.293391,236.474705,212.687760,198.272572,230.601215,201.444888
B_acf_abs_r_sec_der_pct,345.261162,77.794006,492.389952,349.792232,292.404531,274.443867,317.275227
B_acf_abs_r_funct_nrmse,45.543345,9.362287,47.038605,43.311634,29.494267,49.899037,57.973181
B_acf_abs_r_der_nrmse,89.478844,22.932572,125.682776,106.987326,69.642249,77.282601,67.799271
B_acf_abs_r_sec_der_nrmse,108.643720,26.379321,155.879530,115.382645,103.072201,84.102452,84.781774
B_acf_sq_r_funct,0.000254,0.000082,0.000275,0.000234,0.000119,0.000268,0.000373
B_acf_sq_r_der,0.000019,0.000010,0.000038,0.000023,0.000010,0.000015,0.000011
B_acf_sq_r_sec_der,0.000043,0.000024,0.000090,0.000038,0.000033,0.000026,0.000026
B_acf_sq_r_funct_pct,70.368156,13.754003,77.064372,69.764791,44.849006,74.570316,85.592297
B_acf_sq_r_der_pct,908.576652,251.590083,1126.953984,1029.274443,430.966444,886.949368,1068.739021
B_acf_sq_r_sec_der_pct,534.821086,203.044783,607.257192,397.521092,767.323748,212.329564,689.673832
B_acf_sq_r_funct_nrmse,45.613235,7.935863,48.215132,44.447434,31.726060,47.573080,56.104470
B_acf_sq_r_der_nrmse,75.670780,19.653249,109.855796,84.392477,57.324752,68.308630,58.472244
