step,train_bce
50,0.692357
100,0.69294
150,0.689777
200,0.692186
250,0.691877
300,0.6931
350,0.692989
400,0.693015
450,0.694479
500,0.695984
550,0.693011
600,0.693092
650,0.693905
700,0.692972
750,0.693681
800,0.68983
850,0.694014
900,0.691212
950,0.693168
1000,0.693041
1050,0.693416
1100,0.693466
1150,0.692921
1200,0.692946
1250,0.693204
1300,0.69336
1350,0.693205
1400,0.694918
1450,0.693565
1500,0.69349
1550,0.693778
1600,0.692335
1650,0.69318
1700,0.694254
1750,0.693442
1800,0.692198
1850,0.693421
1900,0.693255
1950,0.693092
2000,0.69395
