step,train_bce
50,0.69505
100,0.692771
150,0.691312
200,0.693347
250,0.693359
300,0.692635
350,0.693032
400,0.706673
450,0.69318
500,0.691882
550,0.694978
600,0.693143
650,0.69298
700,0.69269
750,0.695621
800,0.691597
850,0.693583
900,0.694962
950,0.69305
1000,0.694004
1050,0.692385
1100,0.694064
1150,0.692806
1200,0.69335
1250,0.693147
1300,0.692967
1350,0.693012
1400,0.691125
1450,0.693728
1500,0.691412
1550,0.692967
1600,0.694107
1650,0.693242
1700,0.695087
1750,0.691816
1800,0.693279
1850,0.692561
1900,0.692702
1950,0.690779
2000,0.694878
