step,train_bce
50,0.697865
100,0.694099
150,0.692022
200,0.693229
250,0.69317
300,0.693455
350,0.691284
400,0.693616
450,0.692391
500,0.69339
550,0.693569
600,0.692351
650,0.692251
700,0.692448
750,0.692983
800,0.692113
850,0.692892
900,0.692786
950,0.693024
1000,0.6936
1050,0.693613
1100,0.694825
1150,0.693627
1200,0.693901
1250,0.693502
1300,0.692935
1350,0.693273
1400,0.693208
1450,0.693312
1500,0.692688
1550,0.692055
1600,0.691249
1650,0.693356
1700,0.692107
1750,0.69292
1800,0.692947
1850,0.693415
1900,0.693474
1950,0.693584
2000,0.692579
