step,train_bce
50,0.694438
100,0.692189
150,0.693037
200,0.693907
250,0.681745
300,0.693018
350,0.693328
400,0.693553
450,0.693204
500,0.693061
550,0.694291
600,0.692878
650,0.690617
700,0.690476
750,0.693501
800,0.692298
850,0.694233
900,0.693298
950,0.693171
1000,0.69253
1050,0.693254
1100,0.694272
1150,0.695239
1200,0.694009
1250,0.690099
1300,0.693398
1350,0.697369
1400,0.694002
1450,0.69281
1500,0.692739
1550,0.693072
1600,0.691898
1650,0.691789
1700,0.694357
1750,0.693764
1800,0.695356
1850,0.690913
1900,0.69036
1950,0.689799
2000,0.695616
