step,train_bce
50,0.693292
100,0.691253
150,0.693802
200,0.693135
250,0.692521
300,0.692454
350,0.694319
400,0.692534
450,0.689222
500,0.69282
550,0.693603
600,0.693245
650,0.693251
700,0.694136
750,0.697624
800,0.692242
850,0.691157
900,0.695648
950,0.694269
1000,0.694127
1050,0.691901
1100,0.693041
1150,0.696434
1200,0.696863
1250,0.693069
1300,0.687814
1350,0.691936
1400,0.695266
1450,0.69309
1500,0.692869
1550,0.694187
1600,0.692915
1650,0.692814
1700,0.693022
1750,0.693416
1800,0.702377
1850,0.693888
1900,0.694566
1950,0.693741
2000,0.693294
