step,train_bce
50,0.693459
100,0.693411
150,0.693236
200,0.693131
250,0.694345
300,0.693407
350,0.695208
400,0.693689
450,0.692805
500,0.691773
550,0.692834
600,0.692327
650,0.693871
700,0.692679
750,0.692834
800,0.693633
850,0.692297
900,0.693145
950,0.692493
1000,0.693189
1050,0.693311
1100,0.693037
1150,0.691596
1200,0.693688
1250,0.69364
1300,0.69284
1350,0.693205
1400,0.693302
1450,0.692702
1500,0.693357
1550,0.693398
1600,0.69323
1650,0.693311
1700,0.693463
1750,0.694795
1800,0.694501
1850,0.692761
1900,0.693705
1950,0.6932
2000,0.693078
