metric,mean,std,seed_0,seed_1,seed_2,seed_3,seed_4
A1_kurtosis_error,0.355491,0.0,0.35549126680311316,,,,
A2_abs_r_q95_error,0.000774,0.0,0.0007741381599722513,,,,
A3_abs_r_q99_error,0.001969,0.0,0.0019687586005797952,,,,
A4_tail_qq_error,0.000732,0.0,0.0007315743668825502,,,,
A5_hill_tail_index_error,2.847031,0.0,2.8470313223501584,,,,
A6_path_mmd2,0.001654,0.0,0.0016535954955007037,,,,
A7_terminal_mmd2,0.002229,0.0,0.00222880632615452,,,,
A8_increment_mmd2,0.000913,0.0,0.0009134392299525729,,,,
A9_volatility_mmd,0.027246,0.0,0.0272459365936788,,,,
A10_terminal_swd,1.145693,0.0,1.145693103805249,,,,
A11_path_swd,0.645834,0.0,0.6458336720190418,,,,
A12_rv_law_loss,0.39132,0.0,0.39131983301612366,,,,
A13_mean_path_rmse,0.387855,0.0,0.3878547307852005,,,,
A14_ks_logreturns,0.015838,0.0,0.01583838275098426,,,,
A15_skewness_error,0.05074,0.0,0.05074038628138629,,,,
A16_qq_rmse,0.000442,0.0,0.0004420220274475223,,,,
A17_terminal_ks,0.039551,0.0,0.03955078125,,,,
A18_disc_score_gru,0.000305,0.0,0.000305,,,,
A18_disc_score_mlp,0.013118,0.0,0.013118,,,,
A19_pred_score_gru,0.056389,0.0,0.056389,,,,
A19_pred_score_mlp,0.056257,0.0,0.056257,,,,
A20_cov_error,35.924926,0.0,35.92492647862281,,,,
A21_acf_abs,0.025068,0.0,0.025068373917874923,,,,
A22_acf_sq,0.017647,0.0,0.01764689956216381,,,,
A23_acf_lag1_abs_error,0.030955,0.0,0.03095493056136758,,,,
A24_acf_lag1_sq_error,0.021248,0.0,0.02124773088520852,,,,
A25_mean_rmse,0.812288,0.0,0.812287560001721,,,,
A26_std_error,0.003182,0.0,0.003182353243079694,,,,
A27_logreturn_std_error,7.6e-05,0.0,7.55707080272814e-05,,,,
A28_kurtosis_ratio,0.833106,0.0,0.8331061648954733,,,,
A29_sigma_mean_error,0.000824,0.0,0.0008244477890577695,,,,
A30_vol_path_rmse,0.673221,0.0,0.673220578293591,,,,
A31_rolling_vol_ks,0.053393,0.0,0.053393356199187,,,,
A32_vol_of_vol_error,0.000464,0.0,0.0004641507069289017,,,,
A33_sigma_corr,0.000131,0.0,0.000131377661586955,,,,
A34_sigma_rmse,0.093872,0.0,0.09387166630373382,,,,
B_log_ret_hist_funct,1.349264,0.0,1.349263508566549,,,,
B_log_ret_hist_der,0.121576,0.0,0.12157559792039443,,,,
B_log_ret_hist_sec_der,0.245834,0.0,0.24583423376581998,,,,
B_log_ret_hist_funct_pct,7.388082,0.0,7.3880818104280905,,,,
B_log_ret_hist_der_pct,64.733601,0.0,64.73360130257294,,,,
B_log_ret_hist_sec_der_pct,227.305525,0.0,227.30552454126774,,,,
B_log_ret_hist_funct_nrmse,3.158013,0.0,3.158013327049406,,,,
B_log_ret_hist_der_nrmse,16.042265,0.0,16.042265265909748,,,,
B_log_ret_hist_sec_der_nrmse,36.303948,0.0,36.30394756219768,,,,
B_log_ret_hist_funct_cvar90,7.446453,0.0,7.446452649130664,,,,
B_log_ret_hist_funct_cvar95,8.721105,0.0,8.72110492974282,,,,
B_qq_plot_funct,0.0,0.0,2.265196649869893e-07,,,,
B_qq_plot_der,0.0,0.0,2.212489207977466e-08,,,,
B_qq_plot_sec_der,0.0,0.0,6.644682373307283e-09,,,,
B_qq_plot_funct_pct,8.647801,0.0,8.647801271493194,,,,
B_qq_plot_der_pct,5.94821,0.0,5.948209530843027,,,,
B_qq_plot_sec_der_pct,131.762895,0.0,131.7628948988761,,,,
B_qq_plot_funct_nrmse,1.282754,0.0,1.2827542642724004,,,,
B_qq_plot_der_nrmse,2.055196,0.0,2.0551956359249126,,,,
B_qq_plot_sec_der_nrmse,2.101329,0.0,2.1013288140553232,,,,
B_qq_plot_funct_cvar90,1.368259,0.0,1.368259250913657,,,,
B_qq_plot_funct_cvar95,1.916159,0.0,1.9161587879033448,,,,
B_acf_abs_r_funct,0.000385,0.0,0.00038494923328403086,,,,
B_acf_abs_r_der,7e-06,0.0,6.653004061066598e-06,,,,
B_acf_abs_r_sec_der,1.6e-05,0.0,1.5973347412070904e-05,,,,
B_acf_abs_r_funct_pct,64.458946,0.0,64.45894611017808,,,,
B_acf_abs_r_der_pct,181.313565,0.0,181.31356496067937,,,,
B_acf_abs_r_sec_der_pct,1485.188899,0.0,1485.1888987714506,,,,
B_acf_abs_r_funct_nrmse,49.806124,0.0,49.80612368986543,,,,
B_acf_abs_r_der_nrmse,53.567804,0.0,53.567804441048935,,,,
B_acf_abs_r_sec_der_nrmse,81.349755,0.0,81.34975546061717,,,,
B_acf_abs_r_funct_cvar90,74.915595,0.0,74.91559493487293,,,,
B_acf_abs_r_funct_cvar95,79.203436,0.0,79.20343613307251,,,,
B_acf_sq_r_funct,0.000191,0.0,0.00019095154045850577,,,,
B_acf_sq_r_der,7e-06,0.0,6.528869659574391e-06,,,,
B_acf_sq_r_sec_der,1.8e-05,0.0,1.7873446130790916e-05,,,,
B_acf_sq_r_funct_pct,52.899419,0.0,52.89941891437097,,,,
B_acf_sq_r_der_pct,201.377562,0.0,201.3775622201833,,,,
B_acf_sq_r_sec_der_pct,598.100781,0.0,598.1007807715332,,,,
B_acf_sq_r_funct_nrmse,38.295379,0.0,38.295378503176195,,,,
B_acf_sq_r_der_nrmse,43.526807,0.0,43.52680705556238,,,,
B_acf_sq_r_sec_der_nrmse,66.808701,0.0,66.80870133040877,,,,
