step,train_bce
50,0.693053
100,0.692547
150,0.693339
200,0.692036
250,0.692273
300,0.694131
350,0.692407
400,0.692809
450,0.695414
500,0.69349
550,0.693319
600,0.693101
650,0.694139
700,0.695817
750,0.693358
800,0.6918
850,0.692776
900,0.693328
950,0.693683
1000,0.693058
1050,0.693384
1100,0.692129
1150,0.693152
1200,0.690354
1250,0.693329
1300,0.693363
1350,0.692226
1400,0.693522
1450,0.693228
1500,0.693301
1550,0.693514
1600,0.690258
1650,0.69417
1700,0.69294
1750,0.693245
1800,0.697179
1850,0.694843
1900,0.694977
1950,0.690939
2000,0.69146
