step,train_bce
50,0.692523
100,0.693557
150,0.692759
200,0.692224
250,0.692792
300,0.691178
350,0.693964
400,0.692094
450,0.6936
500,0.693817
550,0.693673
600,0.695124
650,0.691927
700,0.692451
750,0.69261
800,0.693871
850,0.695545
900,0.6933
950,0.692711
1000,0.692924
1050,0.69294
1100,0.692929
1150,0.692817
1200,0.693439
1250,0.691936
1300,0.693231
1350,0.691404
1400,0.693094
1450,0.696109
1500,0.690241
1550,0.693313
1600,0.690711
1650,0.691709
1700,0.694587
1750,0.690382
1800,0.69286
1850,0.694414
1900,0.692092
1950,0.690946
2000,0.688146
