step,train_bce
50,0.692466
100,0.693933
150,0.693284
200,0.693934
250,0.692836
300,0.692305
350,0.691948
400,0.693042
450,0.693444
500,0.693083
550,0.692634
600,0.692702
650,0.693362
700,0.693221
750,0.694479
800,0.694217
850,0.693244
900,0.692981
950,0.692816
1000,0.692587
1050,0.69995
1100,0.693205
1150,0.692025
1200,0.693793
1250,0.692015
1300,0.692972
1350,0.693565
1400,0.693298
1450,0.694798
1500,0.69439
1550,0.692858
1600,0.69486
1650,0.692637
1700,0.692965
1750,0.692875
1800,0.689345
1850,0.692793
1900,0.701652
1950,0.693239
2000,0.691708
