step,train_bce
50,0.691603
100,0.692978
150,0.694516
200,0.693061
250,0.693375
300,0.693209
350,0.693937
400,0.694841
450,0.692784
500,0.691641
550,0.698149
600,0.693928
650,0.691031
700,0.693247
750,0.694071
800,0.691828
850,0.693138
900,0.692365
950,0.69091
1000,0.693024
1050,0.693506
1100,0.694425
1150,0.692658
1200,0.691994
1250,0.693281
1300,0.691757
1350,0.693438
1400,0.694259
1450,0.691541
1500,0.691003
1550,0.695405
1600,0.692856
1650,0.693649
1700,0.693017
1750,0.692639
1800,0.693218
1850,0.693604
1900,0.691543
1950,0.690929
2000,0.694593
